series_label,reporting_date,vintage_month,bucket,dq_rate
TAOT 1704304,2021-01-31,44,60+,0.004018369690011481
TAOT 1704304,2021-02-28,45,60+,0.0037588685805572523
TAOT 1704304,2021-03-31,46,60+,0.0024456238942657926
TAOT 1709987,2017-08-31,0,60+,0.0008892317252166832
TAOT 1709987,2017-09-30,1,60+,0.0011306191226830463
TAOT 1709987,2017-10-31,2,60+,0.0014093572443181818
TAOT 1709987,2017-11-30,3,60+,0.002113949807822745
TAOT 1709987,2017-12-31,4,60+,0.0023519645821804096
TAOT 1709987,2018-01-31,5,60+,0.0021916129564387467
TAOT 1709987,2018-02-28,6,60+,0.002041355460025457
TAOT 1709987,2018-03-31,7,60+,0.001572346358421266
TAOT 1709987,2018-04-30,8,60+,0.0018559157313938178
TAOT 1709987,2018-05-31,9,60+,0.0020237729275540527
TAOT 1709987,2018-06-30,10,60+,0.001962118041021348
TAOT 1709987,2018-07-31,11,60+,0.002391801066288967
TAOT 1709987,2018-08-31,12,60+,0.0024598565083703452
TAOT 1709987,2018-09-30,13,60+,0.0026904954414921794
TAOT 1709987,2018-10-31,14,60+,0.0022360213062921925
TAOT 1709987,2018-11-30,15,60+,0.002585781109271042
TAOT 1709987,2018-12-31,16,60+,0.002686934964297908
TAOT 1709987,2019-01-31,17,60+,0.002809415337889142
TAOT 1709987,2019-02-28,18,60+,0.002933188484519283
TAOT 1709987,2019-03-31,19,60+,0.0022104543358300336
TAOT 1709987,2019-04-30,20,60+,0.002483984834618904
TAOT 1709987,2019-05-31,21,60+,0.002213465246918756
TAOT 1709987,2019-06-30,22,60+,0.0024747795899427707
TAOT 1709987,2019-07-31,23,60+,0.002688790221294511
TAOT 1709987,2019-08-31,24,60+,0.0031853510256830302
TAOT 1709987,2019-09-30,25,60+,0.0031156156156156157
TAOT 1709987,2019-10-31,26,60+,0.0034035311635822164
TAOT 1709987,2019-11-30,27,60+,0.004004519953214519
TAOT 1709987,2019-12-31,28,60+,0.003982436434187685
TAOT 1709987,2020-01-31,29,60+,0.003459112864103267
TAOT 1709987,2020-02-29,30,60+,0.003122831367106176
TAOT 1709987,2020-03-31,31,60+,0.00340646780663813
TAOT 1709987,2020-04-30,32,60+,0.0036172235490527977
TAOT 1709987,2020-05-31,33,60+,0.0031963470319634705
TAOT 1709987,2020-06-30,34,60+,0.002865473557208928
TAOT 1709987,2020-07-31,35,60+,0.0026056745801968733
TAOT 1709987,2020-08-31,36,60+,0.002899991714309388
TAOT 1709987,2020-09-30,37,60+,0.0031773793907593647
TAOT 1709987,2020-10-31,38,60+,0.0030566083873334146
TAOT 1709987,2020-11-30,39,60+,0.0031774561093815194
TAOT 1709987,2020-12-31,40,60+,0.003666485605649104
TAOT 1709987,2021-01-31,41,60+,0.003055575526637429
TAOT 1709987,2021-02-28,42,60+,0.0035216601029990913
TAOT 1709987,2021-03-31,43,60+,0.0023508062853136473
TAOT 1709987,2021-04-30,44,60+,0.0021344717182497333
TAOT 1709987,2021-05-31,45,60+,0.0027179095937440397
TAOT 1709987,2021-06-30,46,60+,0.0032679738562091504
TAOT 1709987,2021-07-31,47,60+,0.0031351472399507333
TAOT 1718100,2017-11-30,0,60+,0.0007304144580324722
TAOT 1718100,2017-12-31,1,60+,0.00134412869767688
TAOT 1718100,2018-01-31,2,60+,0.0014711927478851603
TAOT 1718100,2018-02-28,3,60+,0.0015333362749856594
TAOT 1718100,2018-03-31,4,60+,0.001376602274778841
TAOT 1718100,2018-04-30,5,60+,0.0016157139724636176
TAOT 1718100,2018-05-31,6,60+,0.0016893288757102861
TAOT 1718100,2018-06-30,7,60+,0.0016786425940462533
TAOT 1718100,2018-07-31,8,60+,0.0019791692437099526
TAOT 1718100,2018-08-31,9,60+,0.0023433739518151646
TAOT 1718100,2018-09-30,10,60+,0.002435075448481316
TAOT 1718100,2018-10-31,11,60+,0.0023314655115314812
TAOT 1718100,2018-11-30,12,60+,0.002489278515091251
TAOT 1718100,2018-12-31,13,60+,0.002764263600176913
TAOT 1718100,2019-01-31,14,60+,0.0027145866617653298
TAOT 1718100,2019-02-28,15,60+,0.0024092909182716585
TAOT 1718100,2019-03-31,16,60+,0.00249568055288923
TAOT 1718100,2019-04-30,17,60+,0.0023787518370933774
TAOT 1718100,2019-05-31,18,60+,0.002202506514455888
TAOT 1718100,2019-06-30,19,60+,0.0023976246050270724
TAOT 1718100,2019-07-31,20,60+,0.0024628934920893817
TAOT 1718100,2019-08-31,21,60+,0.0027153871940998994
TAOT 1718100,2019-09-30,22,60+,0.002936603903955778
TAOT 1718100,2019-10-31,23,60+,0.002992898507092638
TAOT 1718100,2019-11-30,24,60+,0.0033515707090836623
TAOT 1718100,2019-12-31,25,60+,0.0031050703753974303
TAOT 1718100,2020-01-31,26,60+,0.003886580766211637
TAOT 1718100,2020-02-29,27,60+,0.0036197670758577275
TAOT 1718100,2020-03-31,28,60+,0.003408537575068982
TAOT 1718100,2020-04-30,29,60+,0.003383387982707128
TAOT 1718100,2020-05-31,30,60+,0.002723499913539685
TAOT 1718100,2020-06-30,31,60+,0.002835028350283503
TAOT 1718100,2020-07-31,32,60+,0.002624610409392356
TAOT 1718100,2020-08-31,33,60+,0.0028561663900009767
TAOT 1718100,2020-09-30,34,60+,0.002910836482483914
TAOT 1718100,2020-10-31,35,60+,0.0029252985134164827
TAOT 1718100,2020-11-30,36,60+,0.0036426327058365544
TAOT 1718100,2020-12-31,37,60+,0.0033285643376448947
TAOT 1718100,2021-01-31,38,60+,0.0027316534176360457
TAOT 1718100,2021-02-28,39,60+,0.003465092402464066
TAOT 1718100,2021-03-31,40,60+,0.0022419977924944814
TAOT 1718100,2021-04-30,41,60+,0.0023226662734110014
TAOT 1718100,2021-05-31,42,60+,0.00274294670846395
TAOT 1718100,2021-06-30,43,60+,0.003270440251572327
TAOT 1718100,2021-07-31,44,60+,0.0031707752768846014
TAOT 1718100,2021-08-31,45,60+,0.004114635663365389
TAOT 1718100,2021-09-30,46,60+,0.0037938990002563447
TAOT 1718100,2021-10-31,47,60+,0.004948317572025511
TAOT 1725585,2018-02-28,0,60+,0.0007592614073753809
TAOT 1725585,2018-03-31,1,60+,0.0010616280441379901
TAOT 1725585,2018-04-30,2,60+,0.0012163717056599638
TAOT 1725585,2018-05-31,3,60+,0.0010544381751489114
TAOT 1725585,2018-06-30,4,60+,0.0011249239528450246
TAOT 1725585,2018-07-31,5,60+,0.001362157845911765
TAOT 1725585,2018-08-31,6,60+,0.0015753334054860084
TAOT 1725585,2018-09-30,7,60+,0.0015850586717454076
TAOT 1725585,2018-10-31,8,60+,0.0017986063944859508
TAOT 1725585,2018-11-30,9,60+,0.0018463905628926785
TAOT 1725585,2018-12-31,10,60+,0.0020515635004638884
TAOT 1725585,2019-01-31,11,60+,0.0023619840666159572
TAOT 1725585,2019-02-28,12,60+,0.0023253600228456423
TAOT 1725585,2019-03-31,13,60+,0.0018745053388689095
TAOT 1725585,2019-04-30,14,60+,0.0017901287187793028
TAOT 1725585,2019-05-31,15,60+,0.0019911922445242213
