Series Label,Reporting Date,vintage_month,bucket,dq_rate
NAROT 1694423,2017-03-31,0,60+,0.0
NAROT 1694423,2017-04-30,1,60+,0.000453833760693458
NAROT 1694423,2017-05-31,2,60+,0.000596973802034303
NAROT 1694423,2017-06-30,3,60+,0.000907715582450832
NAROT 1694423,2017-07-31,4,60+,0.0013452279807419994
NAROT 1694423,2017-08-31,5,60+,0.0016770483948251077
NAROT 1694423,2017-09-30,6,60+,0.0018202116299388409
NAROT 1694423,2017-10-31,7,60+,0.0017757170690803265
NAROT 1694423,2017-11-30,8,60+,0.001928712772086266
NAROT 1694423,2017-12-31,9,60+,0.0024188415022278805
NAROT 1694423,2018-01-31,10,60+,0.0027305351848962395
NAROT 1694423,2018-02-28,11,60+,0.0022488557292906844
NAROT 1694423,2018-03-31,12,60+,0.0015942498919152615
NAROT 1694423,2018-04-30,13,60+,0.001967958312545041
NAROT 1694423,2018-05-31,14,60+,0.0019210124865811629
NAROT 1694423,2018-06-30,15,60+,0.001840349666436623
NAROT 1694423,2018-07-31,16,60+,0.0019302196355979295
NAROT 1694423,2018-08-31,17,60+,0.0020572450805008947
NAROT 1694423,2018-09-30,18,60+,0.00229919830585388
NAROT 1694423,2018-10-31,19,60+,0.0018857425497712378
NAROT 1694423,2018-11-30,20,60+,0.0022307402287294205
NAROT 1694423,2018-12-31,21,60+,0.002077407395570328
NAROT 1694423,2019-01-31,22,60+,0.0024768609047060358
NAROT 1694423,2019-02-28,23,60+,0.0025507668864080566
NAROT 1694423,2019-03-31,24,60+,0.0019623101126636667
NAROT 1694423,2019-04-30,25,60+,0.0021413276231263384
NAROT 1694423,2019-05-31,26,60+,0.0019026143330279754
NAROT 1694423,2019-06-30,27,60+,0.001976568676777115
NAROT 1694423,2019-07-31,28,60+,0.0023510396003232677
NAROT 1694423,2019-08-31,29,60+,0.0022848153419731815
NAROT 1694423,2019-09-30,30,60+,0.0021919704660821413
NAROT 1694423,2019-10-31,31,60+,0.0015321154979375368
NAROT 1694423,2019-11-30,32,60+,0.0022030843180452634
NAROT 1694423,2019-12-31,33,60+,0.0029484029484029483
NAROT 1694423,2020-01-31,34,60+,0.002853905233558568
NAROT 1694423,2020-02-29,35,60+,0.00223684776530305
NAROT 1694423,2020-03-31,36,60+,0.0023795884193363592
NAROT 1694423,2020-04-30,37,60+,0.0023007172824468804
NAROT 1694423,2020-05-31,38,60+,0.0019462465245597776
NAROT 1694423,2020-06-30,39,60+,0.002650602409638554
NAROT 1694423,2020-07-31,40,60+,0.002112144832788534
