Series Label,Reporting Date,vintage_month,bucket,dq_rate
VALET 2020-1,2020-11-30,6,60+,0.0014877438246823785
VALET 2020-1,2020-12-31,7,60+,0.0015957446808510637
VALET 2020-1,2021-01-29,8,60+,0.0015334009348799249
VALET 2020-1,2021-02-26,9,60+,0.0015673584953358444
VALET 2020-1,2021-03-31,10,60+,0.0011191796153145416
VALET 2020-1,2021-04-30,11,60+,0.0011240164855751218
VALET 2020-1,2021-05-31,12,60+,0.0011012912640070483
VALET 2020-1,2021-06-30,13,60+,0.0014716703458425313
VALET 2020-1,2021-07-30,14,60+,0.0015735641227380016
VALET 2020-1,2021-08-31,15,60+,0.0015895867074560614
VALET 2020-1,2021-09-30,16,60+,0.0014464208777004986
VALET 2020-1,2021-10-29,17,60+,0.0013536911695262081
VALET 2020-1,2021-11-30,18,60+,0.0017763710354628255
VALET 2020-1,2021-12-31,19,60+,0.0020603482653196864
VALET 2020-1,2022-01-31,20,60+,0.0016009810266716627
VALET 2020-1,2022-02-28,21,60+,0.0014678642575053297
VALET 2020-1,2022-03-31,22,60+,0.0012947311634598094
VALET 2020-1,2022-04-29,23,60+,0.0012892768998416031
VALET 2020-1,2022-05-31,24,60+,0.0015872416008465289
VALET 2020-1,2022-06-30,25,60+,0.0018978271815329796
VALET 2020-1,2022-07-29,26,60+,0.001666931258929989
VALET 2020-1,2022-08-31,27,60+,0.0017484650103688042
VALET 2020-1,2022-09-30,28,60+,0.0019600483756620378
VALET 2020-1,2022-10-31,29,60+,0.0023056231587037274
VALET 2020-1,2022-11-30,30,60+,0.002362928280750886
VALET 2020-1,2022-12-30,31,60+,0.002419896930315931
VALET 2020-1,2023-01-31,32,60+,0.0023505553763193067
VALET 2020-1,2023-02-28,33,60+,0.002362613996125313
VALET 2020-1,2023-03-31,34,60+,0.001557329180455519
VALET 2020-1,2023-04-28,35,60+,0.0019520496521347416
VALET 2020-1,2023-05-31,36,60+,0.0019082001031459515
VALET 2020-1,2023-06-30,37,60+,0.002022675254165114
VALET 2020-1,2023-07-31,38,60+,0.001921598770176787
VALET 2020-1,2023-08-31,39,60+,0.002905320724621169
VALET 2020-1,2023-09-29,40,60+,0.0031894158643907627
VALET 2020-1,2023-10-31,41,60+,0.0021496130696474634
VALET 2020-1,2023-11-30,42,60+,0.003245720104372176
VALET 2021-1,2021-11-30,0,60+,0.0007211769608000256
VALET 2021-1,2021-12-31,1,60+,0.0006532958777030116
VALET 2021-1,2022-01-31,2,60+,0.0006828667077497044
VALET 2021-1,2022-02-28,3,60+,0.0006966628151974444
VALET 2021-1,2022-03-31,4,60+,0.0006769188044572499
VALET 2021-1,2022-04-29,5,60+,0.0007079019555791523
VALET 2021-1,2022-05-31,6,60+,0.000993425330539701
VALET 2021-1,2022-06-30,7,60+,0.0011788108745303175
VALET 2021-1,2022-07-29,8,60+,0.00140607424071991
VALET 2021-1,2022-08-31,9,60+,0.0014128069036618428
VALET 2021-1,2022-09-30,10,60+,0.0009713453132588635
VALET 2021-1,2022-10-31,11,60+,0.0011448422881054833
VALET 2021-1,2022-11-30,12,60+,0.0014825202844836222
VALET 2021-1,2022-12-30,13,60+,0.0014417414612354303
VALET 2021-1,2023-01-31,14,60+,0.001318608867644635
VALET 2021-1,2023-02-28,15,60+,0.0014413435828877004
VALET 2021-1,2023-03-31,16,60+,0.001594896331738437
VALET 2021-1,2023-04-28,17,60+,0.0013823192725544828
VALET 2021-1,2023-05-31,18,60+,0.001538258691161605
VALET 2021-1,2023-06-30,19,60+,0.001522615315718764
VALET 2021-1,2023-07-31,20,60+,0.0019394437219065874
VALET 2021-1,2023-08-31,21,60+,0.002497724036508789
VALET 2021-1,2023-09-29,22,60+,0.0026856165034699116
VALET 2021-1,2023-10-31,23,60+,0.002130441098145548
VALET 2021-1,2023-11-30,24,60+,0.0020430266331905676
VALET 2021-1,2023-12-29,25,60+,0.0020060683567792574
VALET 2021-1,2024-01-31,26,60+,0.0024825962325962327
VALET 2021-1,2024-02-29,27,60+,0.00190361948471889
VALET 2021-1,2024-03-29,28,60+,0.0014912654452492544
VALET 2021-1,2024-04-30,29,60+,0.0020149761742682096
VALET 2021-1,2024-05-31,30,60+,0.0016725671117553591
VALET 2021-1,2024-06-28,31,60+,0.0017382879288726776
