series,rnk,make,model,n,pct_of_pool
Nissan Auto Lease Trust 2017-A,1,NISSAN,SENTRA,14579,0.20572339734996542
Nissan Auto Lease Trust 2017-A,2,NISSAN,ROGUE AWD,12964,0.1829342289076721
Nissan Auto Lease Trust 2017-A,3,NISSAN,ALTIMA,12841,0.1811985832616027
Nissan Auto Lease Trust 2017-B,1,NISSAN,SENTRA,14747,0.2056162072475286
Nissan Auto Lease Trust 2017-B,2,NISSAN,ALTIMA,13075,0.18230364886156078
Nissan Auto Lease Trust 2017-B,3,NISSAN,ROGUE AWD,12090,0.16856987493202827
Nissan Auto Lease Trust 2018-A,1,NISSAN,SENTRA,9851,0.2278583489464067
Nissan Auto Lease Trust 2018-A,2,NISSAN,ROGUE AWD,7445,0.17220641639488354
Nissan Auto Lease Trust 2018-A,3,NISSAN,ALTIMA,5838,0.1350357365901048
Nissan Auto Lease Trust 2019-A,1,NISSAN,SENTRA,13911,0.18697329336971277
Nissan Auto Lease Trust 2019-A,2,NISSAN,ALTIMA,10508,0.1412346608244513
Nissan Auto Lease Trust 2019-A,3,NISSAN,ROGUE AWD,9537,0.12818376097095469
Nissan Auto Lease Trust 2019-B,1,NISSAN,SENTRA,14820,0.20153942393994614
Nissan Auto Lease Trust 2019-B,2,NISSAN,ROGUE AWD,11597,0.15770935893600238
Nissan Auto Lease Trust 2019-B,3,NISSAN,ALTIMA,9260,0.12592814208393396
Nissan Auto Lease Trust 2020-A,1,NISSAN,ALTIMA,13499,0.18802406886369336
Nissan Auto Lease Trust 2020-A,2,NISSAN,SENTRA,13055,0.18183970805359778
Nissan Auto Lease Trust 2020-A,3,NISSAN,ROGUE AWD,9021,0.12565116862133327
Nissan Auto Lease Trust 2020-B,1,NISSAN,SENTRA,19115,0.25730592685323533
Nissan Auto Lease Trust 2020-B,2,NISSAN,ROGUE AWD,10481,0.1410841443551535
Nissan Auto Lease Trust 2020-B,3,NISSAN,ALTIMA,8911,0.1199504637294889
Nissan Auto Lease Trust 2021-A,1,NISSAN,SENTRA,13865,0.25723562152133583
Nissan Auto Lease Trust 2021-A,2,NISSAN,ALTIMA,6991,0.12970315398886828
Nissan Auto Lease Trust 2021-A,3,NISSAN,ROGUE AWD,6086,0.11291280148423005
Nissan Auto Lease Trust 2022-A,1,NISSAN,SENTRA,21792,0.20005691780884796
Nissan Auto Lease Trust 2022-A,2,NISSAN,ALTIMA,16381,0.15038235915137382
Nissan Auto Lease Trust 2022-A,3,NISSAN,ROGUE AWD,13819,0.12686245168871466
Nissan Auto Lease Trust 2023-A,1,NISSAN,ALTIMA,12567,0.19928007357838318
Nissan Auto Lease Trust 2023-A,2,NISSAN,SENTRA,11448,0.18153563160064698
Nissan Auto Lease Trust 2023-A,3,NISSAN,ROGUE AWD,8972,0.14227268402524498
Nissan Auto Lease Trust 2023-B,1,NISSAN,ROGUE AWD,9080,0.22569099224497913
Nissan Auto Lease Trust 2023-B,2,NISSAN,ALTIMA,5516,0.1371047922052098
Nissan Auto Lease Trust 2023-B,3,NISSAN,PATHFINDER,4996,0.12417975740703917
Nissan Auto Lease Trust 2023-C,1,NISSAN,ROGUE AWD,13480,0.2626298049759386
Nissan Auto Lease Trust 2023-C,2,NISSAN,ALTIMA,8738,0.1702417830771329
Nissan Auto Lease Trust 2023-C,3,NISSAN,PATHFINDER,5536,0.10785746293373857
Nissan Auto Lease Trust 2024-B,1,NISSAN,ROGUE AWD,12055,0.2580154959119901
Nissan Auto Lease Trust 2024-B,2,NISSAN,ALTIMA,7433,0.1590899362184838
Nissan Auto Lease Trust 2024-B,3,NISSAN,PATHFINDER,6166,0.1319720902358632
Nissan Auto Lease Trust 2025-A,1,NISSAN,ROGUE AWD,17918,0.29505821133927246
Nissan Auto Lease Trust 2025-A,2,NISSAN,ALTIMA,8705,0.14334645215472525
Nissan Auto Lease Trust 2025-A,3,NISSAN,SENTRA,8110,0.13354850396034712
Nissan Auto Lease Trust 2025-B,1,NISSAN,ROGUE AWD,14574,0.27585554209569957
Nissan Auto Lease Trust 2025-B,2,NISSAN,ALTIMA,7612,0.1440793458509994
Nissan Auto Lease Trust 2025-B,3,NISSAN,PATHFINDER,6965,0.13183298001211388
Nissan Auto Lease Trust 2026-A,1,NISSAN,ROGUE AWD,9561,0.20028908999497236
Nissan Auto Lease Trust 2026-A,2,NISSAN,SENTRA,5825,0.12202530584883527
Nissan Auto Lease Trust 2026-A,3,NISSAN,PATHFINDER,5319,0.11142533936651584
