series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
Volkswagen Auto Lease Trust 2020-A,2022-02-28,33682,33561,85,36,859978143.7859979,728560202.5724032,588228827.7850099,1377968865.0,33274,0,408,17
Volkswagen Auto Lease Trust 2020-A,2023-02-28,14813,14688,95,30,301719970.03830117,257675276.86070064,235170879.4400031,556135011.0,14601,0,212,29
Volkswagen Auto Lease Trust 2020-A,2021-03-31,40500,40369,101,30,1223772918.0524938,1038576310.3399969,709340806.3699965,1664854305.0,39992,0,508,6
Volkswagen Auto Lease Trust 2020-A,2022-03-31,32536,32401,103,32,817078786.9849005,692175060.5024978,566782022.8349963,1327592310.0,32152,0,384,18
Volkswagen Auto Lease Trust 2020-A,2022-04-29,31334,31202,99,33,774170407.4749953,655972084.7363008,543385993.4449898,1273410634.0,30968,0,366,19
Volkswagen Auto Lease Trust 2020-A,2021-04-30,40151,40025,99,27,1195317205.1999002,1014516456.2799993,703137079.2649966,1650259819.0,39646,0,505,7
Volkswagen Auto Lease Trust 2020-A,2021-05-31,39705,39534,144,27,1164948088.5792031,988699361.0000045,695225070.6649953,1631460381.0,39208,0,497,8
Volkswagen Auto Lease Trust 2020-A,2022-05-31,30089,29949,103,37,730257350.0061014,618732856.766198,519413869.15500337,1217944947.0,29752,0,337,20
Volkswagen Auto Lease Trust 2020-A,2021-06-30,39197,39040,114,43,1133121650.9030993,961563299.7699994,686493242.4150032,1610499365.0,38705,0,492,9
Volkswagen Auto Lease Trust 2020-A,2022-06-30,28175,28041,89,45,672595982.4970999,570191085.4469004,483128826.48999023,1133642467.0,27859,0,316,21
Volkswagen Auto Lease Trust 2020-A,2022-07-29,26600,26466,99,35,625827442.2863014,530636091.32599854,454020734.0399991,1066365142.0,26300,0,300,22
Volkswagen Auto Lease Trust 2020-A,2021-07-30,38747,38597,116,34,1103508185.4569037,936319232.0699995,678777652.574991,1592118294.0,38262,0,485,10
