series,reporting_period_end_date,lease_count_current,lease_count_30_59,lease_count_60_plus,balance
Nissan Auto Lease Trust 2017-A,01-31-2018,66710,601,228,1585755032.35
Nissan Auto Lease Trust 2017-A,01-31-2019,45624,539,203,937794164.5200005
Nissan Auto Lease Trust 2017-A,02-28-2018,66434,384,147,1549947721.3599906
Nissan Auto Lease Trust 2017-A,02-28-2019,42366,346,125,861059637.8300061
Nissan Auto Lease Trust 2017-A,03-31-2018,65462,567,113,1509198867.9600112
Nissan Auto Lease Trust 2017-A,03-31-2019,37970,517,110,773171671.7700008
Nissan Auto Lease Trust 2017-A,04-30-2018,64913,263,142,1469364798.8400095
Nissan Auto Lease Trust 2017-A,04-30-2019,34005,193,134,685268675.3000009
Nissan Auto Lease Trust 2017-A,05-31-2017,70867,0,0,1860698827.4300125
Nissan Auto Lease Trust 2017-A,05-31-2018,63538,570,141,1425525271.6599998
Nissan Auto Lease Trust 2017-A,05-31-2019,29622,357,124,600023468.599999
Nissan Auto Lease Trust 2017-A,06-30-2017,70367,200,0,1827942369.6799874
Nissan Auto Lease Trust 2017-A,06-30-2018,62494,318,191,1378860809.1600065
Nissan Auto Lease Trust 2017-A,06-30-2019,26042,206,151,524333043.39000344
Nissan Auto Lease Trust 2017-A,07-31-2017,69608,569,95,1795603637.7599933
Nissan Auto Lease Trust 2017-A,07-31-2018,60735,583,193,1328396327.6799958
Nissan Auto Lease Trust 2017-A,07-31-2019,22216,273,124,448523391.6300023
Nissan Auto Lease Trust 2017-A,08-31-2017,69164,566,157,1761317644.8500235
Nissan Auto Lease Trust 2017-A,08-31-2018,58858,565,192,1271721558.760007
Nissan Auto Lease Trust 2017-A,08-31-2019,18700,246,135,378293488.1400027
Nissan Auto Lease Trust 2017-A,09-30-2017,69043,344,159,1728280609.139997
Nissan Auto Lease Trust 2017-A,09-30-2018,57156,361,192,1215497326.800011
Nissan Auto Lease Trust 2017-A,09-30-2019,15481,147,106,311987537.88999885
Nissan Auto Lease Trust 2017-A,10-31-2017,68266,670,138,1692420659.6500063
Nissan Auto Lease Trust 2017-A,10-31-2018,54523,628,176,1152203111.7599943
Nissan Auto Lease Trust 2017-A,10-31-2019,11962,200,84,243552548.97999996
Nissan Auto Lease Trust 2017-A,11-30-2017,68026,372,193,1657075784.75001
Nissan Auto Lease Trust 2017-A,11-30-2018,52181,320,185,1085265115.180001
Nissan Auto Lease Trust 2017-A,12-31-2017,67064,859,218,1622980790.329999
Nissan Auto Lease Trust 2017-A,12-31-2018,49107,617,199,1017131298.6400043
Nissan Auto Lease Trust 2017-B,01-31-2018,69347,545,155,1753424207.9499965
Nissan Auto Lease Trust 2017-B,01-31-2019,56479,596,168,1223697577.5900044
Nissan Auto Lease Trust 2017-B,01-31-2020,18325,196,119,375923028.5000009
Nissan Auto Lease Trust 2017-B,02-28-2018,69102,417,122,1718894484.9899979
Nissan Auto Lease Trust 2017-B,02-28-2019,54142,459,160,1161133887.0299935
Nissan Auto Lease Trust 2017-B,02-29-2020,16086,139,82,324495814.1400002
Nissan Auto Lease Trust 2017-B,03-31-2018,68573,471,97,1682884802.8399997
Nissan Auto Lease Trust 2017-B,03-31-2019,50756,523,140,1084775279.6499896
Nissan Auto Lease Trust 2017-B,03-31-2020,12885,175,66,259044532.6800003
