series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
GM Financial Automobile Leasing Trust 2017-1,2018-12-31,33540,32525,733,282,855266568.240004,682004397.0999998,609905301.2699959,1318094507.02,33355,0,185,23
GM Financial Automobile Leasing Trust 2017-2,2018-01-31,50693,49809,631,253,1515983931.3200068,1189225161.5600028,906865689.1800107,1936411666.47,50410,0,283,9
GM Financial Automobile Leasing Trust 2017-2,2019-01-31,39240,38453,539,248,1017871926.6,814246052.290006,697438399.3400089,1519987203.86,39020,0,220,21
GM Financial Automobile Leasing Trust 2017-2,2020-01-31,12569,12153,293,123,282048544.0199989,230080016.11999843,219997362.7599988,492734380.71,12463,0,106,33
GM Financial Automobile Leasing Trust 2017-2,2018-02-28,50427,49633,566,228,1489428869.8900113,1170933900.0300012,902409131.5800107,1927673026.47,50144,0,283,10
GM Financial Automobile Leasing Trust 2017-2,2019-02-28,37547,36889,452,206,963966537.8900037,771848396.0299994,666476096.2600019,1455908758.86,37338,0,209,22
GM Financial Automobile Leasing Trust 2017-2,2020-02-29,9855,9573,203,79,219596404.70000046,179392905.85000014,172209815.26999992,387783975.71,9760,0,95,34
GM Financial Automobile Leasing Trust 2017-2,2018-03-31,49622,48791,640,191,1446508641.25,1140270488.159997,886802002.3100092,1896876301.47,49349,0,273,11
GM Financial Automobile Leasing Trust 2017-2,2019-03-31,35557,34968,452,137,899474397.6499932,722752023.7999985,629518971.8600037,1378522298.86,35366,0,191,23
GM Financial Automobile Leasing Trust 2017-2,2017-04-30,53085,53085,0,0,1766766879.3000069,1362471925.3499975,950369729.5500076,2024479014.52,52785,0,300,0
GM Financial Automobile Leasing Trust 2017-2,2018-04-30,49076,48260,590,226,1414258478.120009,1116828666.2299998,876877243.2599996,1877357136.47,48806,0,270,12
GM Financial Automobile Leasing Trust 2017-2,2019-04-30,33642,33111,372,159,839791071.4200006,675582059.2200042,593309330.8900023,1301901223.76,33480,0,162,24
GM Financial Automobile Leasing Trust 2017-2,2017-05-31,52975,52608,345,22,1742375158.5000136,1346367104.250001,948170919.7999973,2020000549.5200002,52678,0,297,1
GM Financial Automobile Leasing Trust 2017-2,2018-05-31,48356,47420,712,224,1377125057.5800014,1089330576.3699925,863799313.2200084,1851828121.47,48089,0,267,13
GM Financial Automobile Leasing Trust 2017-2,2019-05-31,31775,31172,446,157,782047516.0899919,629960294.6100006,558856602.1400083,1228883688.76,31621,0,154,25
GM Financial Automobile Leasing Trust 2017-2,2017-06-30,52799,52439,304,56,1715806926.5500176,1328581662.639997,944785073.4500082,2013064194.52,52504,0,295,2
GM Financial Automobile Leasing Trust 2017-2,2018-06-30,47407,46589,590,228,1334262337.7199993,1057241183.9899995,846382102.8799975,1817812225.8600001,47143,0,264,14
GM Financial Automobile Leasing Trust 2017-2,2019-06-30,30129,29534,410,185,730894180.8499982,589375739.7499993,528507375.7799991,1164637794.76,29979,0,150,26
GM Financial Automobile Leasing Trust 2017-2,2017-07-31,52583,52086,426,71,1688633404.6599917,1310244205.2899966,940779831.4000101,2005035014.47,52290,0,293,3
GM Financial Automobile Leasing Trust 2017-2,2018-07-31,46535,45662,652,221,1294811531.5399969,1027764465.249994,830869130.860009,1787298125.86,46274,0,261,15
GM Financial Automobile Leasing Trust 2017-2,2019-07-31,27852,27202,447,203,666847092.7800003,538302647.0500057,487512126.7600089,1077224549.76,27712,0,140,27
GM Financial Automobile Leasing Trust 2017-2,2017-08-31,52295,51733,454,108,1659908195.170002,1290657685.799989,935710064.5000037,1994592614.4700003,52006,0,289,4
GM Financial Automobile Leasing Trust 2017-2,2018-08-31,45495,44723,587,185,1250589730.9300041,994337605.4399955,811890519.8100053,1749692538.86,45239,0,256,16
GM Financial Automobile Leasing Trust 2017-2,2019-08-31,25543,24923,429,191,603377779.4899963,487516838.64999753,446004054.8100079,988442766.71,25405,0,138,28
GM Financial Automobile Leasing Trust 2017-2,2017-09-30,51974,51374,473,127,1631515101.2200027,1271172667.789995,929929069.6100054,1982990544.47,51686,0,288,5
GM Financial Automobile Leasing Trust 2017-2,2018-09-30,44582,43831,555,196,1210309239.679996,963903761.2799995,794781935.8100007,1715971533.8600001,44334,0,248,17
GM Financial Automobile Leasing Trust 2017-2,2019-09-30,23434,22894,333,207,547688459.839999,443456168.36999774,410078676.5499989,909578989.71,23301,0,133,29
GM Financial Automobile Leasing Trust 2017-2,2017-10-31,51564,50872,569,123,1598798664.52,1248216528.4099886,922234933.730009,1967352916.47,51279,0,285,6
GM Financial Automobile Leasing Trust 2017-2,2018-10-31,43435,42642,586,207,1164520587.5600107,928669574.8499994,773238272.0100029,1673442228.86,43195,0,240,18
GM Financial Automobile Leasing Trust 2017-2,2019-10-31,20736,20173,376,187,479291728.7799976,388712640.4400016,362975802.5599999,806974154.71,20613,0,123,30
GM Financial Automobile Leasing Trust 2017-2,2017-11-30,51234,50612,477,145,1569886348.6300035,1228186271.0500045,916332929.180008,1955311711.4700003,50950,0,284,7
GM Financial Automobile Leasing Trust 2017-2,2018-11-30,42091,41379,492,220,1116111749.4100013,891168969.9599957,748808485.8600062,1624911983.86,41854,0,237,19
GM Financial Automobile Leasing Trust 2017-2,2019-11-30,18296,17782,336,178,418963077.8300013,340500717.56999767,320731597.4099991,714189435.71,18174,0,122,31
GM Financial Automobile Leasing Trust 2017-2,2017-12-31,50896,50050,643,203,1540267776.2000117,1207361795.9600015,910455303.9300075,1943384796.47,50613,0,283,8
GM Financial Automobile Leasing Trust 2017-2,2018-12-31,40872,39979,623,270,1071776801.0600054,856795590.6900003,727271562.4400051,1580909158.86,40638,0,234,20
GM Financial Automobile Leasing Trust 2017-2,2019-12-31,15733,15239,337,157,355461477.84999835,289441163.27999866,275266804.4299983,614481272.71,15615,0,118,32
GM Financial Automobile Leasing Trust 2017-3,2018-01-31,44165,43393,592,180,1294979980.0800028,1005942680.1200005,777037500.7500074,1634187750.46,44096,0,69,6
GM Financial Automobile Leasing Trust 2017-3,2019-01-31,35025,34387,440,198,905166631.5599968,717656883.5099969,617862592.9000027,1324005927.9099998,34970,0,55,18
GM Financial Automobile Leasing Trust 2017-3,2020-01-31,11748,11453,201,94,272016168.1600002,220698426.62000006,207430442.20000085,460705298.02,11707,0,41,30
GM Financial Automobile Leasing Trust 2017-3,2018-02-28,43923,43493,333,97,1272635071.4599988,990699445.5999985,772969085.0000024,1626285905.46,43854,0,69,7
GM Financial Automobile Leasing Trust 2017-3,2019-02-28,33520,33146,261,113,861413045.1999986,683613435.0799979,592753954.3400034,1274899117.9099998,33465,0,55,19
GM Financial Automobile Leasing Trust 2017-3,2020-02-29,9906,9729,126,51,228316758.68999994,185728174.46000034,175702694.08000028,390341693.02,9868,0,38,31
GM Financial Automobile Leasing Trust 2017-3,2018-03-31,43295,42635,578,82,1239635234.430005,967657915.7999994,761680985.050001,1603911705.46,43230,0,65,8
GM Financial Automobile Leasing Trust 2017-3,2019-03-31,31364,30785,489,90,801070426.4999985,637818801.3299993,556968265.4400082,1204569067.91,31309,0,55,20
GM Financial Automobile Leasing Trust 2017-3,2020-03-31,8380,8113,208,59,192252631.99999967,156600129.2200001,149018898.05000013,331781549.01,8345,0,35,32
GM Financial Automobile Leasing Trust 2017-3,2018-04-30,42803,42423,232,148,1212241095.6600094,948112832.1100101,753018008.80001,1586943565.4499998,42739,0,64,9
GM Financial Automobile Leasing Trust 2017-3,2019-04-30,29471,29157,175,139,748277963.0600052,596528218.1500059,524515422.3500071,1139692552.91,29419,0,52,21
GM Financial Automobile Leasing Trust 2017-3,2020-04-30,7621,7456,89,76,173083014.6399995,140987817.30999988,135106571.83999974,302103739.01,7590,0,31,33
GM Financial Automobile Leasing Trust 2017-3,2018-05-31,42285,41494,613,178,1184331599.5400028,927920481.6500025,743558803.6000001,1568821195.45,42221,0,64,10
GM Financial Automobile Leasing Trust 2017-3,2019-05-31,27527,27053,325,149,692926475.0399997,552845149.8900001,489906161.9100012,1069982998.04,27477,0,50,22
GM Financial Automobile Leasing Trust 2017-3,2020-05-31,6266,6012,181,73,142467469.64000002,116128996.3699999,111310157.58999972,250277419.01,6239,0,27,34
GM Financial Automobile Leasing Trust 2017-3,2018-06-30,41597,41164,252,181,1152515587.5400052,904518547.9800014,731370510.2200024,1545490870.45,41533,0,64,11
GM Financial Automobile Leasing Trust 2017-3,2019-06-30,25650,25334,185,131,639294881.2500004,510717162.13,455650050.5599991,998422718.04,25601,0,49,23
GM Financial Automobile Leasing Trust 2017-3,2017-07-31,45285,44929,356,0,1419989135.2299948,1090137186.359994,796749816.3199985,1674136060.46,45215,0,70,0
GM Financial Automobile Leasing Trust 2017-3,2018-07-31,40905,40207,529,169,1120679720.260003,881146263.9700009,718872783.3900021,1521107340.45,40843,0,62,12
GM Financial Automobile Leasing Trust 2017-3,2019-07-31,23390,22908,348,134,577085004.580002,461690522.3999976,414129513.9100019,910589765.02,23344,0,46,24
GM Financial Automobile Leasing Trust 2017-3,2017-08-31,45137,44672,427,38,1399073346.1000013,1076331773.349996,794004982.7700044,1668452640.46,45067,0,70,1
GM Financial Automobile Leasing Trust 2017-3,2018-08-31,40192,39528,505,159,1088107311.379997,856996569.1800034,706169237.8900048,1496433330.45,40132,0,60,13
GM Financial Automobile Leasing Trust 2017-3,2019-08-31,21334,20888,316,130,519573114.18999815,416201577.65000105,376075884.01000124,829724402.02,21288,0,46,25
GM Financial Automobile Leasing Trust 2017-3,2017-09-30,44999,44754,178,67,1379880128.6100001,1063937398.4400088,791564632.1700004,1663373975.46,44929,0,70,2
GM Financial Automobile Leasing Trust 2017-3,2018-09-30,39488,39103,206,179,1058105408.6999977,834921891.950002,693980029.5700032,1472496619.84,39428,0,60,14
GM Financial Automobile Leasing Trust 2017-3,2019-09-30,19630,19357,139,134,473128721.95999885,379902275.7900019,346131512.64000154,764906442.02,19585,0,45,26
GM Financial Automobile Leasing Trust 2017-3,2017-10-31,44814,44293,449,72,1357997439.0800087,1049319909.1700003,788193084.0699992,1656418680.46,44744,0,70,3
GM Financial Automobile Leasing Trust 2017-3,2018-10-31,38576,37902,508,166,1022801832.2499954,808364932.5900023,678219251.4700027,1441633374.84,38517,0,59,15
GM Financial Automobile Leasing Trust 2017-3,2019-10-31,17365,16954,302,109,414390240.4000024,333675643.6500009,306172620.7900016,677647381.02,17321,0,44,27
GM Financial Automobile Leasing Trust 2017-3,2017-11-30,44593,44293,198,102,1336465338.5099998,1034919736.3400009,784387379.5200076,1648712305.46,44523,0,70,4
GM Financial Automobile Leasing Trust 2017-3,2018-11-30,37432,37044,217,171,983133884.0699996,778050945.4799933,658465569.160003,1403522289.84,37375,0,57,16
GM Financial Automobile Leasing Trust 2017-3,2019-11-30,15579,15304,169,106,367505661.3299993,296583543.53000027,274264202.4399999,608172137.02,15535,0,44,28
GM Financial Automobile Leasing Trust 2017-3,2017-12-31,44344,43608,604,132,1313781922.0799952,1019477740.539989,779925669.7699994,1639849890.46,44274,0,70,5
GM Financial Automobile Leasing Trust 2017-3,2018-12-31,36459,35687,577,195,948567122.3700006,751657503.2699943,642048419.2000048,1371214097.96,36403,0,56,17
GM Financial Automobile Leasing Trust 2017-3,2019-12-31,13896,13502,284,110,323739565.8200001,261844312.70999938,244492353.94000107,542833676.02,13854,0,42,29
