series,rnk,make,model,n,pct_of_pool
BMW Vehicle Lease Trust 2017-1,1,BMW,X3 xDrive28i,2689,0.08156394079107013
BMW Vehicle Lease Trust 2017-1,2,BMW,X5 xDrive35i,1812,0.05496238776995875
BMW Vehicle Lease Trust 2017-1,3,BMW,X1 xDrive 28i,1651,0.050078864353312304
BMW Vehicle Lease Trust 2017-2,1,BMW,X3 xDrive28i,4454,0.10393428851449106
BMW Vehicle Lease Trust 2017-2,2,BMW,X5 xDrive35i,3089,0.07208195267652961
BMW Vehicle Lease Trust 2017-2,3,BMW,X1 xDrive28i,1463,0.03413917020581509
BMW Vehicle Lease Trust 2018-1,1,BMW,X3 xDrive28i,2175,0.06459756459756459
BMW Vehicle Lease Trust 2018-1,2,BMW,X5 xDrive35i,2172,0.06450846450846451
BMW Vehicle Lease Trust 2018-1,3,BMW,X1 xDrive28i,1749,0.05194535194535194
BMW Vehicle Lease Trust 2019-1,1,BMW,X5 xDrive35i,2274,0.06501229344159186
BMW Vehicle Lease Trust 2019-1,2,BMW,X1 xDrive28i,2154,0.061581565555492025
BMW Vehicle Lease Trust 2019-1,3,BMW,X3 xDrive28i,1721,0.04920235576648179
BMW Vehicle Lease Trust 2021-1,1,BMW,X5 xDrive40i,2197,0.058015791280466876
BMW Vehicle Lease Trust 2021-1,2,BMW,X3 xDrive 30i,2154,0.056880297868969344
BMW Vehicle Lease Trust 2021-1,3,BMW,X3 xDrive30i,2056,0.0542924291636959
BMW Vehicle Lease Trust 2021-2,1,BMW,X3 xDrive 30i,6155,0.07738244908222278
BMW Vehicle Lease Trust 2021-2,2,BMW,X5 xDrive40i,5080,0.06386723661051044
BMW Vehicle Lease Trust 2021-2,3,BMW,X3 sDrive 30i,4439,0.05580839829016847
BMW Vehicle Lease Trust 2022-1,1,BMW,X3 xDrive 30i,5725,0.07989226754490016
BMW Vehicle Lease Trust 2022-1,2,BMW,X5 xDrive40i,4475,0.06244854100671235
BMW Vehicle Lease Trust 2022-1,3,BMW,330i Sedan NA,3690,0.051493880740730406
BMW Vehicle Lease Trust 2023-1,1,BMW,X5 xDrive40i,4664,0.086734978520819
BMW Vehicle Lease Trust 2023-1,2,BMW,X3 xDrive30i,3843,0.07146709315083778
BMW Vehicle Lease Trust 2023-1,3,BMW,X7 xDrive40i,3154,0.05865397132389861
BMW Vehicle Lease Trust 2023-2,1,BMW,X5 xDrive40i,6352,0.09895159908401227
BMW Vehicle Lease Trust 2023-2,2,BMW,X3 xDrive30i,3406,0.05305874472294487
BMW Vehicle Lease Trust 2023-2,3,BMW,X7 xDrive40i,3321,0.05173461280825012
BMW Vehicle Lease Trust 2024-1,1,BMW,X3 xDrive30i,2821,0.0989650938431854
BMW Vehicle Lease Trust 2024-1,2,BMW,X5 xDrive40i,2350,0.08244167689878969
BMW Vehicle Lease Trust 2024-1,3,BMW,X3 sDrive30i,1468,0.051499736888265216
BMW Vehicle Lease Trust 2024-2,1,BMW,X5 xDrive40i,2033,0.07667647280681904
BMW Vehicle Lease Trust 2024-2,2,BMW,X3 xDrive30i,1645,0.062042694425586485
BMW Vehicle Lease Trust 2024-2,3,BMW,iX xDrive50,1429,0.05389605491438485
BMW Vehicle Lease Trust 2025-1,1,BMW,X5 xDrive40i,2267,0.0743766404199475
BMW Vehicle Lease Trust 2025-1,2,BMW,X1 xDrive28i,1796,0.0589238845144357
BMW Vehicle Lease Trust 2025-1,3,BMW,X3 xDrive30i,1783,0.05849737532808399
BMW Vehicle Lease Trust 2025-2,1,BMW,X1 xDrive28i,1797,0.06411445697159983
BMW Vehicle Lease Trust 2025-2,2,BMW,X3 30 xDrive,1407,0.0501998001998002
BMW Vehicle Lease Trust 2025-2,3,BMW,X5 xDrive40i,1407,0.0501998001998002
BMW Vehicle Lease Trust 2026-1,1,BMW,X5 xDrive40i,2246,0.06551160891377902
BMW Vehicle Lease Trust 2026-1,2,BMW,iX xDrive50,2187,0.06379068953447672
BMW Vehicle Lease Trust 2026-1,3,BMW,X3 30 xDrive,2181,0.0636156807840392
