series,rnk,make,model,n,pct_of_pool
GM Financial Automobile Leasing Trust 2017-1,1,CHEVROLET,SILVERADO,6488,0.11865398683247988
GM Financial Automobile Leasing Trust 2017-1,2,CHEVROLET,EQUINOX,6087,0.11132040965618142
GM Financial Automobile Leasing Trust 2017-1,3,CHEVROLET,MALIBU,4205,0.07690197512801755
GM Financial Automobile Leasing Trust 2017-2,1,CHEVROLET,EQUINOX,7795,0.14683997362720166
GM Financial Automobile Leasing Trust 2017-2,2,CHEVROLET,SILVERADO,4828,0.09094847885466704
GM Financial Automobile Leasing Trust 2017-2,3,CHEVROLET,MALIBU,4318,0.08134124517283602
GM Financial Automobile Leasing Trust 2017-3,1,CHEVROLET,EQUINOX,7933,0.17517941923374186
GM Financial Automobile Leasing Trust 2017-3,2,CHEVROLET,CRUZE,4500,0.09937065253395164
GM Financial Automobile Leasing Trust 2017-3,3,CHEVROLET,SILVERADO,4179,0.09228221265319642
GM Financial Automobile Leasing Trust 2018-1,1,CHEVROLET,EQUINOX,9347,0.16572988882781609
GM Financial Automobile Leasing Trust 2018-1,2,CHEVROLET,SILVERADO,5557,0.09853011578219471
GM Financial Automobile Leasing Trust 2018-1,3,CHEVROLET,TRAVERSE,4088,0.0724835546729552
GM Financial Automobile Leasing Trust 2018-2,1,CHEVROLET,EQUINOX,8249,0.14708294700805935
GM Financial Automobile Leasing Trust 2018-2,2,CHEVROLET,SILVERADO,5784,0.10313101775907567
GM Financial Automobile Leasing Trust 2018-2,3,CHEVROLET,TRAVERSE,3884,0.0692532629626988
GM Financial Automobile Leasing Trust 2018-3,1,CHEVROLET,EQUINOX,9243,0.16314535345512313
GM Financial Automobile Leasing Trust 2018-3,2,CHEVROLET,SILVERADO,5997,0.1058512046597829
GM Financial Automobile Leasing Trust 2018-3,3,CHEVROLET,TRAVERSE,4227,0.07460947842202806
GM Financial Automobile Leasing Trust 2019-1,1,CHEVROLET,EQUINOX,10577,0.19216933139534884
GM Financial Automobile Leasing Trust 2019-1,2,CHEVROLET,SILVERADO,6060,0.11010174418604651
GM Financial Automobile Leasing Trust 2019-1,3,GMC,TERRAIN,4075,0.07403706395348837
GM Financial Automobile Leasing Trust 2019-2,1,CHEVROLET,EQUINOX,12308,0.21709528345151163
GM Financial Automobile Leasing Trust 2019-2,2,CHEVROLET,SILVERADO,5737,0.10119236603520655
