series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
Mercedes-Benz Auto Lease Trust 2017-A,2017-03-31,1,144,5062292.75,6726204.34,15409.289999999999
Mercedes-Benz Auto Lease Trust 2017-A,2017-03-31,98,8,254412.0,418181.99,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-04-30,1,332,11550444.22,14924994.16,71864.31
Mercedes-Benz Auto Lease Trust 2017-A,2017-04-30,3,3,77860.0,100442.93,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-04-30,4,1,34003.0,0.0,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-04-30,98,25,677084.0,1064091.29,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-05-31,1,444,15336866.49,18967597.78,68786.55
Mercedes-Benz Auto Lease Trust 2017-A,2017-05-31,3,7,267847.0,428488.45999999996,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-05-31,4,1,39262.0,0.0,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-05-31,98,37,1092881.9,1640072.5299999998,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-06-30,1,556,19140236.35,22736560.650000002,144746.49
Mercedes-Benz Auto Lease Trust 2017-A,2017-06-30,3,6,208139.0,235613.15,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-06-30,4,2,41762.0,0.0,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-06-30,98,36,1103559.0,1654641.76,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-07-31,1,689,22621502.02,26614369.1,150244.95999999996
Mercedes-Benz Auto Lease Trust 2017-A,2017-07-31,3,5,183643.0,181544.38,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-07-31,98,33,1019799.95,1441125.08,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-08-31,1,900,29263461.43,33227083.52,244960.29
Mercedes-Benz Auto Lease Trust 2017-A,2017-08-31,3,11,364276.0,385724.2,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-08-31,98,34,998968.45,1372749.81,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-09-30,1,954,30189232.79,32535901.92,266301.43
Mercedes-Benz Auto Lease Trust 2017-A,2017-09-30,3,1,63344.75,90821.0,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-09-30,98,46,1377145.4,1770318.1900000002,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-10-31,1,1162,38691093.09,40379422.440000005,333985.29
Mercedes-Benz Auto Lease Trust 2017-A,2017-10-31,3,8,239837.0,244656.46,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-10-31,98,53,1588895.16,2190416.0,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-11-30,1,1066,36136657.09,36580911.620000005,271175.48
Mercedes-Benz Auto Lease Trust 2017-A,2017-11-30,3,7,242480.0,265272.26999999996,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-11-30,98,51,1439901.9,1969384.14,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-12-31,1,1065,35485576.78,36035571.56,296869.68
Mercedes-Benz Auto Lease Trust 2017-A,2017-12-31,3,5,190404.0,200381.09999999998,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2017-12-31,98,23,721367.0,903142.8400000001,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2018-01-31,1,1332,44193539.10000001,44278470.79,357488.73
Mercedes-Benz Auto Lease Trust 2017-A,2018-01-31,3,12,361303.0,394625.84,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2018-01-31,4,3,126393.6,0.0,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2018-01-31,98,34,941506.5,1218978.1300000001,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2018-02-28,1,1077,34285239.54,34107461.32,297974.57999999996
Mercedes-Benz Auto Lease Trust 2017-A,2018-02-28,3,13,441585.0,403431.73,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2018-02-28,98,40,1204250.3,1463848.98,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2018-03-31,1,1343,42234438.629999995,41768998.09,423378.67
Mercedes-Benz Auto Lease Trust 2017-A,2018-03-31,3,10,269490.0,279894.05999999994,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2018-03-31,4,1,25448.0,0.0,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2018-03-31,98,28,796430.8,975552.8800000001,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2018-04-30,1,1423,45746128.04000001,44480602.49,477849.65
Mercedes-Benz Auto Lease Trust 2017-A,2018-04-30,3,13,424463.25,403593.8500000001,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2018-04-30,98,44,1355537.78,1737492.1899999997,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2018-05-31,1,1524,47114131.650000006,45574114.510000005,433033.83
Mercedes-Benz Auto Lease Trust 2017-A,2018-05-31,3,10,371014.0,365408.6,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2018-05-31,98,25,890918.4,1053962.97,0.0
Mercedes-Benz Auto Lease Trust 2017-A,2018-06-30,1,1425,43817874.57000001,43016923.85,375815.12
