series,reporting_period_end_date,lease_count_current,lease_count_30_59,lease_count_60_plus,balance
Volkswagen Auto Lease Trust 2019-A,01-29-2021,59415,304,144,1512345410.138606
Volkswagen Auto Lease Trust 2019-A,01-31-2020,59417,323,123,1754340413.0073967
Volkswagen Auto Lease Trust 2019-A,01-31-2022,59664,143,56,1353380059.2381077
Volkswagen Auto Lease Trust 2019-A,02-26-2021,59488,253,122,1496177023.3315892
Volkswagen Auto Lease Trust 2019-A,02-28-2020,59478,271,114,1733607184.57809
Volkswagen Auto Lease Trust 2019-A,02-28-2022,59704,106,53,1346453536.4366066
Volkswagen Auto Lease Trust 2019-A,03-31-2020,59370,358,135,1710135369.530026
Volkswagen Auto Lease Trust 2019-A,03-31-2021,59539,227,97,1476267354.8312018
Volkswagen Auto Lease Trust 2019-A,04-30-2020,59096,605,162,1689632420.3566885
Volkswagen Auto Lease Trust 2019-A,04-30-2021,59599,184,80,1459825798.2203
Volkswagen Auto Lease Trust 2019-A,05-29-2020,59502,226,135,1670463119.65821
Volkswagen Auto Lease Trust 2019-A,05-31-2021,59561,226,76,1443181725.686998
Volkswagen Auto Lease Trust 2019-A,06-30-2020,59484,245,134,1649178008.3566902
Volkswagen Auto Lease Trust 2019-A,06-30-2021,59554,220,89,1428572128.0165007
Volkswagen Auto Lease Trust 2019-A,07-30-2021,59548,215,100,1414912456.9159
Volkswagen Auto Lease Trust 2019-A,07-31-2020,59434,313,116,1628311394.195486
Volkswagen Auto Lease Trust 2019-A,08-30-2019,59862,0,0,1869580231.219578
Volkswagen Auto Lease Trust 2019-A,08-31-2020,59482,271,110,1607926169.4161866
Volkswagen Auto Lease Trust 2019-A,08-31-2021,59549,215,99,1402091701.8798993
Volkswagen Auto Lease Trust 2019-A,09-30-2020,59492,249,122,1587747032.657698
Volkswagen Auto Lease Trust 2019-A,09-30-2021,59586,186,91,1390650132.287505
Volkswagen Auto Lease Trust 2019-A,10-29-2021,59627,158,78,1380398729.3599916
Volkswagen Auto Lease Trust 2019-A,10-30-2020,59508,236,119,1567992019.9946902
Volkswagen Auto Lease Trust 2019-A,10-31-2019,59505,307,51,1823315555.2236078
Volkswagen Auto Lease Trust 2019-A,11-29-2019,59464,306,93,1801337509.7280006
Volkswagen Auto Lease Trust 2019-A,11-30-2020,59448,286,129,1548590460.3110805
Volkswagen Auto Lease Trust 2019-A,11-30-2021,59630,172,61,1370282938.2669003
Volkswagen Auto Lease Trust 2019-A,12-31-2019,59429,307,127,1777394831.808496
Volkswagen Auto Lease Trust 2019-A,12-31-2020,59391,335,137,1529623170.7899036
Volkswagen Auto Lease Trust 2019-A,12-31-2021,59640,162,61,1361378198.391801
Volkswagen Auto Lease Trust 2020-A,01-29-2021,41582,125,25,1300995541.2319963
Volkswagen Auto Lease Trust 2020-A,01-31-2022,41573,113,46,1099311726.9379036
