series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
BMW Vehicle Lease Trust 2017-2,2017-08-31,1,86,2447754.3999999994,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2017-08-31,2,13,339038.45,0.0,620.2
BMW Vehicle Lease Trust 2017-2,2017-10-31,4,11,293264.85000000003,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2017-11-30,4,2,65874.75,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2017-12-31,4,5,143574.95,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2018-01-31,1,318,9006576.979999999,0.0,11398.79
BMW Vehicle Lease Trust 2017-2,2018-01-31,2,353,10034996.4,0.0,49093.67999999999
BMW Vehicle Lease Trust 2017-2,2018-01-31,3,9,231304.85,243784.05,0.0
BMW Vehicle Lease Trust 2017-2,2018-01-31,4,4,117204.70000000001,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2018-02-28,4,6,190571.55,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2018-03-31,4,4,116736.65,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2018-04-30,4,4,102310.5,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2018-05-31,4,3,76459.20000000001,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2018-06-30,4,4,97052.29999999999,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2018-07-31,4,26,738142.8500000001,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2018-08-31,4,10,248332.59999999998,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2018-09-30,4,13,352232.55,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2018-10-31,4,11,266048.39999999997,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2018-11-30,4,7,209167.65,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2018-12-31,4,7,204849.69999999998,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2019-01-31,1,890,25099023.45,0.0,106302.79000000001
BMW Vehicle Lease Trust 2017-2,2019-01-31,2,5265,145769548.74,0.0,992601.09
BMW Vehicle Lease Trust 2017-2,2019-01-31,3,94,2511350.0,2860376.5800000005,0.0
BMW Vehicle Lease Trust 2017-2,2019-01-31,4,6,160426.69999999998,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2019-01-31,98,1,27577.2,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2019-02-28,4,7,164252.5,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2019-03-31,4,7,182685.80000000002,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2019-04-30,4,9,233328.7,0.0,0.0
BMW Vehicle Lease Trust 2017-2,2019-05-31,4,8,150968.2,0.0,0.0
