series,term_period,term_ind,n_terminated,sum_proceeds_paired,sum_base_residual_paired,n_paired
Ford Credit Auto Lease Trust 2017-B,2019-12-31,98,15,0.0,0.0,0
Ford Credit Auto Lease Trust 2018-A,2018-04-30,1,105,0.0,0.0,0
Ford Credit Auto Lease Trust 2018-A,2018-04-30,2,7,121419.4,107403.0,7
Ford Credit Auto Lease Trust 2018-A,2018-04-30,4,3,0.0,0.0,0
Ford Credit Auto Lease Trust 2018-A,2018-05-31,1,161,0.0,0.0,0
Ford Credit Auto Lease Trust 2018-A,2018-05-31,2,40,708711.1199999999,632444.0,40
Ford Credit Auto Lease Trust 2018-A,2018-06-30,1,148,599.0,59115.0,2
Ford Credit Auto Lease Trust 2018-A,2018-06-30,2,73,1290857.84,1187760.0,72
Ford Credit Auto Lease Trust 2018-A,2018-06-30,3,5,67427.2,65946.0,4
Ford Credit Auto Lease Trust 2018-A,2018-06-30,4,1,0.0,0.0,0
Ford Credit Auto Lease Trust 2018-A,2018-07-31,1,176,0.0,0.0,0
Ford Credit Auto Lease Trust 2018-A,2018-07-31,2,119,2132950.11,1955796.5,116
Ford Credit Auto Lease Trust 2018-A,2018-07-31,3,7,76091.2,53463.0,4
Ford Credit Auto Lease Trust 2018-A,2018-08-31,1,219,0.0,0.0,0
Ford Credit Auto Lease Trust 2018-A,2018-08-31,2,195,3546395.3399999994,3204122.4,193
Ford Credit Auto Lease Trust 2018-A,2018-08-31,3,11,196451.37000000002,158649.0,8
Ford Credit Auto Lease Trust 2018-A,2018-08-31,4,1,0.0,0.0,0
Ford Credit Auto Lease Trust 2018-A,2018-09-30,1,207,0.0,0.0,0
Ford Credit Auto Lease Trust 2018-A,2018-09-30,2,203,3711310.6500000004,3328764.1999999997,200
Ford Credit Auto Lease Trust 2018-A,2018-09-30,3,19,255078.53,223248.0,15
Ford Credit Auto Lease Trust 2018-A,2018-10-31,1,274,0.0,0.0,0
Ford Credit Auto Lease Trust 2018-A,2018-10-31,2,374,6587549.479999999,6204913.999999999,369
Ford Credit Auto Lease Trust 2018-A,2018-10-31,3,15,205771.6,182256.0,11
