series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
GM Financial Automobile Leasing Trust 2017-1,2018-05-31,3,77,1197795.8499999999,1365244.1600000001,469.57
GM Financial Automobile Leasing Trust 2017-1,2018-05-31,4,1,15255.0,1266.32,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-05-31,98,49,731122.7999999999,950644.46,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-06-30,1,319,6072613.23,8422245.649999999,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-06-30,2,1127,19410106.15,21304251.71,28056.989999999998
GM Financial Automobile Leasing Trust 2017-1,2018-06-30,3,77,1279064.2000000002,1426202.25,123.56
GM Financial Automobile Leasing Trust 2017-1,2018-06-30,98,36,549793.35,537833.7899999999,1077.26
GM Financial Automobile Leasing Trust 2017-1,2018-07-31,1,387,7607179.949999999,10296973.86,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-07-31,2,1070,17880301.35,20232099.86,28158.09
GM Financial Automobile Leasing Trust 2017-1,2018-07-31,3,81,1297787.2,1519054.83,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-07-31,98,35,584628.2499999999,673593.8000000002,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-08-31,1,493,9695612.850000001,12891006.66,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-08-31,2,933,15410652.5,18229155.56,36464.6
GM Financial Automobile Leasing Trust 2017-1,2018-08-31,3,39,624495.2000000001,766262.71,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-08-31,98,28,445220.94999999995,482962.8300000001,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-09-30,1,438,8696349.39,11417125.639999999,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-09-30,2,697,11109872.3,13304951.89,55058.649999999994
GM Financial Automobile Leasing Trust 2017-1,2018-09-30,3,35,520884.7,630789.16,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-09-30,98,27,479241.50000000006,523552.29,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-10-31,1,482,9450406.4,12525016.0,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-10-31,2,913,14882610.9,17618917.79,79404.79000000001
GM Financial Automobile Leasing Trust 2017-1,2018-10-31,3,52,712043.0,885109.75,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-10-31,98,26,479643.05,483586.69999999995,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-11-30,1,425,8625254.0,11233286.16,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-11-30,2,902,15098263.05,17506560.06,66422.15
GM Financial Automobile Leasing Trust 2017-1,2018-11-30,3,36,499102.45,560022.5,352.83
GM Financial Automobile Leasing Trust 2017-1,2018-11-30,98,35,523081.50000000006,623293.32,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-12-31,1,346,6704192.4,8782528.84,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-12-31,2,795,12987182.63,14729719.96,56864.69
GM Financial Automobile Leasing Trust 2017-1,2018-12-31,3,25,332015.35,364186.07999999996,0.0
GM Financial Automobile Leasing Trust 2017-1,2018-12-31,98,23,368723.69999999995,424436.92,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-01-31,1,348,6780092.299999999,8742484.32,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-01-31,2,1042,18015240.15,20187826.98,98292.17
GM Financial Automobile Leasing Trust 2017-1,2019-01-31,3,35,408602.8499999999,526837.93,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-01-31,98,30,496410.64999999997,534275.43,110.1
GM Financial Automobile Leasing Trust 2017-1,2019-02-28,1,244,4993144.65,6358928.83,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-02-28,2,1186,20426917.4,22712727.299999997,99180.48999999999
GM Financial Automobile Leasing Trust 2017-1,2019-02-28,3,25,429561.4,482148.04000000004,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-02-28,98,17,272512.4,328472.39999999997,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-03-31,1,261,5301471.199999999,6613105.0,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-03-31,2,3337,59730865.5,66334618.62,327551.79
GM Financial Automobile Leasing Trust 2017-1,2019-03-31,3,15,236107.0,235328.6,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-03-31,98,24,367232.75,442466.19999999995,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-04-30,1,345,7322956.96,8908847.95,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-04-30,2,1880,35231062.1,39142166.69,206004.4
GM Financial Automobile Leasing Trust 2017-1,2019-04-30,3,21,299134.85,284706.70999999996,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-04-30,98,23,376875.55000000005,356739.36000000004,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-05-31,1,414,8417362.55,10208977.700000001,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-05-31,2,2327,42669105.5,47358453.35,215109.44
GM Financial Automobile Leasing Trust 2017-1,2019-05-31,3,16,267516.4,269120.81,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-05-31,98,16,222274.6,197126.06,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-06-30,1,391,7935774.35,9513448.370000001,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-06-30,2,1975,35386781.6,39286446.17,180202.78
GM Financial Automobile Leasing Trust 2017-1,2019-06-30,3,12,169591.19999999998,149180.22999999998,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-06-30,98,17,331055.55,346092.41,7970.88
GM Financial Automobile Leasing Trust 2017-1,2019-07-31,1,495,9582742.04,11423267.2,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-07-31,2,2604,47102281.28,51516045.75,279424.42000000004
GM Financial Automobile Leasing Trust 2017-1,2019-07-31,3,15,221395.80000000002,189753.15000000002,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-07-31,98,22,339667.65,338227.50999999995,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-08-31,1,658,12945466.0,15346115.51,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-08-31,2,2575,46723249.099999994,46095303.92,232094.14
GM Financial Automobile Leasing Trust 2017-1,2019-08-31,3,26,389108.0,281448.52,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-08-31,98,11,168420.2,57228.22,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-09-30,1,533,10108301.0,12070849.05,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-09-30,2,2789,51827228.95,37193634.14,112996.45999999999
GM Financial Automobile Leasing Trust 2017-1,2019-09-30,3,16,400674.55,186095.46,0.0
GM Financial Automobile Leasing Trust 2017-1,2019-09-30,98,10,160060.1,113664.26000000001,190.44
GM Financial Automobile Leasing Trust 2017-1,2019-10-31,1,499,9780240.5,11753902.5,0.0
