series,term_ind,n_assets,n_paired,avg_proceeds_paired,avg_base_residual_paired,avg_gain_loss,sum_proceeds_paired,sum_base_residual_paired
BMW Vehicle Lease Trust 2018-1,1,2090,0,,,,0.0,0.0
BMW Vehicle Lease Trust 2018-1,2,20433,0,,,,0.0,0.0
BMW Vehicle Lease Trust 2018-1,3,123,0,,,,0.0,0.0
BMW Vehicle Lease Trust 2018-1,4,53,0,,,,0.0,0.0
BMW Vehicle Lease Trust 2018-1,98,6,0,,,,0.0,0.0
