series,term_period,term_ind,n_terminated,sum_proceeds_paired,sum_base_residual_paired,n_paired
BMW Vehicle Lease Trust 2018-1,2018-10-31,4,24,0.0,0.0,0
BMW Vehicle Lease Trust 2018-1,2018-11-30,4,5,0.0,0.0,0
BMW Vehicle Lease Trust 2018-1,2018-12-31,4,10,0.0,0.0,0
BMW Vehicle Lease Trust 2018-1,2019-12-31,4,7,0.0,0.0,0
BMW Vehicle Lease Trust 2018-1,2020-12-31,1,2090,0.0,0.0,0
BMW Vehicle Lease Trust 2018-1,2020-12-31,2,20433,0.0,0.0,0
BMW Vehicle Lease Trust 2018-1,2020-12-31,3,123,0.0,0.0,0
BMW Vehicle Lease Trust 2018-1,2020-12-31,4,7,0.0,0.0,0
BMW Vehicle Lease Trust 2018-1,2020-12-31,98,6,0.0,0.0,0
