series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
Mercedes-Benz Auto Lease Trust 2017-A,2018-01-31,47306,47166,92,48,2173141705.124579,1753631023.7000024,1435728964.2800002,2876176361.5,45556,0,1750,10
Mercedes-Benz Auto Lease Trust 2017-A,2019-01-31,27988,27854,85,49,1121896092.4317205,930154348.2399962,843546613.629999,1702464551.0,26980,0,1008,22
Mercedes-Benz Auto Lease Trust 2017-A,2018-02-28,46176,46053,86,37,2095259638.9455695,1694872094.7899904,1399797889.4399998,2805366691.5,44496,0,1680,11
Mercedes-Benz Auto Lease Trust 2017-A,2019-02-28,26454,26353,64,37,1047485869.2311615,870249730.1899942,796593935.8300005,1609076285.0,25505,0,949,23
Mercedes-Benz Auto Lease Trust 2017-A,2017-03-31,37568,37544,24,0,1967798940.3856277,1545262704.6800003,1155862636.55,2313789656.52,36091,0,1477,0
Mercedes-Benz Auto Lease Trust 2017-A,2018-03-31,44794,44680,77,37,2009531554.8238194,1628988210.4999967,1356472082.01,2720287501.5,43211,0,1583,12
Mercedes-Benz Auto Lease Trust 2017-A,2019-03-31,23671,23581,56,34,933503450.470697,776956936.4400039,714630447.3799993,1447091309.0,22802,0,869,24
Mercedes-Benz Auto Lease Trust 2017-A,2017-04-30,55889,55848,36,5,2888509466.0224295,2276566133.4199963,1719399846.0299993,3441304719.52,53713,0,2176,1
Mercedes-Benz Auto Lease Trust 2017-A,2018-04-30,43314,43208,65,41,1920220837.8437614,1559660411.0500016,1308945952.94,2626440187.5,41808,0,1506,13
Mercedes-Benz Auto Lease Trust 2017-A,2019-04-30,20781,20700,50,31,814993156.9505247,679867477.1199975,628235679.4699996,1274995025.0,19997,0,784,25
Mercedes-Benz Auto Lease Trust 2017-A,2017-05-31,55400,55328,53,19,2821302906.1172147,2230024717.970013,1702662988.6399994,3407492069.52,53260,0,2140,2
Mercedes-Benz Auto Lease Trust 2017-A,2018-05-31,41755,41618,96,41,1830003266.0760348,1489699629.3499944,1260569888.8899999,2531247697.5,40321,0,1434,14
Mercedes-Benz Auto Lease Trust 2017-A,2019-05-31,18605,18512,63,30,722143327.1810423,603801753.6400042,562190976.87,1143361304.0,17903,0,702,26
Mercedes-Benz Auto Lease Trust 2017-A,2017-06-30,54800,54747,39,14,2751069793.3734617,2180656492.739998,1682169292.2900004,3366560895.52,52691,0,2109,3
Mercedes-Benz Auto Lease Trust 2017-A,2018-06-30,40278,40168,79,31,1745192208.2656462,1423804705.679997,1215305608.97,2441970968.5,38910,0,1368,15
