series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
Nissan Auto Lease Trust 2017-A,2018-09-30,1,398,5423978.649999999,6723252.38,0.0
Nissan Auto Lease Trust 2017-A,2018-09-30,2,1404,19016483.15,14982695.370000001,70583.95999999999
Nissan Auto Lease Trust 2017-A,2018-09-30,3,37,556392.0,402929.0,0.0
Nissan Auto Lease Trust 2017-A,2018-09-30,98,14,188829.1,140450.30000000002,0.0
Nissan Auto Lease Trust 2017-A,2018-10-31,1,492,6292635.67,7779972.779999999,0.0
Nissan Auto Lease Trust 2017-A,2018-10-31,2,1686,22776310.25,25418000.96,133560.77
Nissan Auto Lease Trust 2017-A,2018-10-31,3,57,684790.85,699894.44,0.0
Nissan Auto Lease Trust 2017-A,2018-10-31,98,13,175162.65,98925.67000000001,0.0
Nissan Auto Lease Trust 2017-A,2018-11-30,1,453,5738096.82,6715823.57,0.0
Nissan Auto Lease Trust 2017-A,2018-11-30,2,1512,20366654.5,22925910.1,75804.24
Nissan Auto Lease Trust 2017-A,2018-11-30,3,43,555580.45,553189.97,0.0
Nissan Auto Lease Trust 2017-A,2018-11-30,98,10,131182.25,64370.55,0.0
Nissan Auto Lease Trust 2017-A,2018-12-31,1,412,5402863.199999999,6639243.289999999,0.0
Nissan Auto Lease Trust 2017-A,2018-12-31,2,472,6359342.4,7479089.42,39192.71
Nissan Auto Lease Trust 2017-A,2018-12-31,3,8,98688.70000000001,106494.0,0.0
Nissan Auto Lease Trust 2017-A,2018-12-31,98,1,11000.0,0.0,0.0
Nissan Auto Lease Trust 2017-A,2019-01-31,1,598,7709376.1,8911433.43,0.0
Nissan Auto Lease Trust 2017-A,2019-01-31,2,5093,70430659.97999999,72933288.77000001,293204.65
Nissan Auto Lease Trust 2017-A,2019-01-31,3,78,946077.0499999999,799548.55,0.0
Nissan Auto Lease Trust 2017-A,2019-01-31,98,41,564120.9,399625.15,0.0
Nissan Auto Lease Trust 2017-A,2019-02-28,1,546,7069709.34,8295521.65,0.0
Nissan Auto Lease Trust 2017-A,2019-02-28,2,3261,44831437.1,47351525.91,174290.95
Nissan Auto Lease Trust 2017-A,2019-02-28,3,50,615171.7000000001,560058.4299999999,0.0
Nissan Auto Lease Trust 2017-A,2019-02-28,98,17,240021.85,134605.46000000002,0.0
Nissan Auto Lease Trust 2017-A,2019-03-31,1,628,8147449.34,9494308.89,0.0
Nissan Auto Lease Trust 2017-A,2019-03-31,2,3654,50322883.370000005,54676304.269999996,231733.7
Nissan Auto Lease Trust 2017-A,2019-03-31,3,27,347566.35,347409.21,0.0
Nissan Auto Lease Trust 2017-A,2019-03-31,98,27,389829.25000000006,281547.54000000004,0.0
Nissan Auto Lease Trust 2017-A,2019-04-30,1,704,9281357.379999999,10889593.0,0.0
Nissan Auto Lease Trust 2017-A,2019-04-30,2,3550,49544774.53,54242027.4,196089.13
Nissan Auto Lease Trust 2017-A,2019-04-30,3,33,438568.6,427493.76,0.0
Nissan Auto Lease Trust 2017-A,2019-04-30,98,19,251657.25000000003,156320.16,0.0
Nissan Auto Lease Trust 2017-A,2019-05-31,1,787,10019938.25,12119986.28,0.0
Nissan Auto Lease Trust 2017-A,2019-05-31,2,3440,48211181.68000001,52887619.0,197612.71
Nissan Auto Lease Trust 2017-A,2019-05-31,3,11,129392.84999999999,126662.0,0.0
Nissan Auto Lease Trust 2017-A,2019-05-31,98,18,221957.9,116596.73,0.0
Nissan Auto Lease Trust 2017-A,2019-06-30,1,736,9962772.350000001,11657224.540000001,0.0
Nissan Auto Lease Trust 2017-A,2019-06-30,2,2957,41746608.35,46425640.53,191668.36
Nissan Auto Lease Trust 2017-A,2019-06-30,3,9,108984.75,100609.0,0.0
Nissan Auto Lease Trust 2017-A,2019-06-30,98,21,262227.05,159925.96,0.0
Nissan Auto Lease Trust 2017-A,2019-07-31,1,827,10825194.22,12896742.489999998,0.0
Nissan Auto Lease Trust 2017-A,2019-07-31,2,2935,42062310.78,46928560.36,166036.45
Nissan Auto Lease Trust 2017-A,2019-07-31,3,21,269590.55,244926.3,0.0
Nissan Auto Lease Trust 2017-A,2019-07-31,98,19,241107.45,148702.93,0.0
Nissan Auto Lease Trust 2017-A,2019-08-31,1,1030,14029689.01,16915731.14,0.0
Nissan Auto Lease Trust 2017-A,2019-08-31,2,2471,35741896.620000005,39215921.87,134781.34000000003
Nissan Auto Lease Trust 2017-A,2019-08-31,3,23,295828.15,314090.47,0.0
Nissan Auto Lease Trust 2017-A,2019-08-31,98,14,229078.1,102811.14,0.0
Nissan Auto Lease Trust 2017-A,2019-09-30,1,1005,13685211.44,16463686.83,0.0
Nissan Auto Lease Trust 2017-A,2019-09-30,2,2320,34182445.629999995,34920091.02,139321.53
Nissan Auto Lease Trust 2017-A,2019-09-30,3,13,180455.19999999998,146969.0,0.0
Nissan Auto Lease Trust 2017-A,2019-09-30,98,13,176668.15000000002,14698.02,0.0
Nissan Auto Lease Trust 2017-A,2019-10-31,1,991,13710811.9,16434775.85,0.0
Nissan Auto Lease Trust 2017-A,2019-10-31,2,2472,37263674.800000004,20547532.82,136169.69
Nissan Auto Lease Trust 2017-A,2019-10-31,3,14,176930.09999999998,70904.0,0.0
Nissan Auto Lease Trust 2017-A,2019-10-31,98,16,224024.1,9569.73,0.0
Nissan Auto Lease Trust 2017-B,2017-09-30,1,184,2564069.9,3684400.3499999996,0.0
Nissan Auto Lease Trust 2017-B,2017-09-30,2,32,428424.1,136115.52000000002,4362.18
Nissan Auto Lease Trust 2017-B,2017-09-30,3,11,127281.95,230.44,0.0
Nissan Auto Lease Trust 2017-B,2017-09-30,98,4,49335.8,0.0,0.0
Nissan Auto Lease Trust 2017-B,2017-10-31,1,240,3211339.8,3919561.88,0.0
Nissan Auto Lease Trust 2017-B,2017-10-31,2,68,912745.05,322601.63,2591.29
Nissan Auto Lease Trust 2017-B,2017-10-31,3,17,252068.15000000002,0.0,0.0
Nissan Auto Lease Trust 2017-B,2017-10-31,98,1,15520.0,0.0,0.0
Nissan Auto Lease Trust 2017-B,2017-11-30,1,229,3030201.0999999996,3229273.8100000005,0.0
Nissan Auto Lease Trust 2017-B,2017-11-30,2,65,844215.7999999999,272442.07,3080.6499999999996
Nissan Auto Lease Trust 2017-B,2017-11-30,3,19,257089.75,0.0,0.0
Nissan Auto Lease Trust 2017-B,2017-12-31,1,190,2519653.4,2732584.2199999997,0.0
Nissan Auto Lease Trust 2017-B,2017-12-31,2,65,839414.6,303086.69,7285.68
Nissan Auto Lease Trust 2017-B,2017-12-31,3,31,370308.65,0.0,0.0
Nissan Auto Lease Trust 2017-B,2017-12-31,98,3,47761.65,0.0,0.0
Nissan Auto Lease Trust 2017-B,2018-01-31,1,233,3369275.5,3695462.6799999997,0.0
Nissan Auto Lease Trust 2017-B,2018-01-31,2,176,2336083.1500000004,785192.9199999999,3759.71
Nissan Auto Lease Trust 2017-B,2018-01-31,3,50,616757.4,36051.26,0.0
Nissan Auto Lease Trust 2017-B,2018-01-31,98,10,147818.40000000002,107181.32,0.0
Nissan Auto Lease Trust 2017-B,2018-02-28,1,200,2868975.4000000004,2824159.52,0.0
Nissan Auto Lease Trust 2017-B,2018-02-28,2,152,1936292.9000000001,663970.1699999999,10358.05
Nissan Auto Lease Trust 2017-B,2018-02-28,3,46,552565.7999999999,6543.73,0.0
Nissan Auto Lease Trust 2017-B,2018-02-28,98,16,215577.05,163116.38,0.0
Nissan Auto Lease Trust 2017-B,2018-03-31,1,212,3052801.05,3492745.74,0.0
Nissan Auto Lease Trust 2017-B,2018-03-31,2,234,2857945.0999999996,971507.4,10532.66
