series,reporting_period_end_date,lease_count_current,lease_count_30_59,lease_count_60_plus,balance
Ford Credit Auto Lease Trust 2017-A,01-31-2018,41986,313,86,1087472594.170007
Ford Credit Auto Lease Trust 2017-A,01-31-2019,26240,219,63,586881650.359997
Ford Credit Auto Lease Trust 2017-A,02-28-2017,47827,43,0,1415189850.8000047
Ford Credit Auto Lease Trust 2017-A,02-28-2018,40999,293,69,1049112145.0199963
Ford Credit Auto Lease Trust 2017-A,02-28-2019,24198,222,46,536381835.2500012
Ford Credit Auto Lease Trust 2017-A,03-31-2017,47652,211,7,1394111680.3100011
Ford Credit Auto Lease Trust 2017-A,03-31-2018,40072,296,51,1011447157.970004
Ford Credit Auto Lease Trust 2017-A,03-31-2019,22090,204,49,484813137.38000125
Ford Credit Auto Lease Trust 2017-A,04-30-2017,47503,219,34,1373127114.079999
Ford Credit Auto Lease Trust 2017-A,04-30-2018,39032,259,52,972677283.8999931
Ford Credit Auto Lease Trust 2017-A,04-30-2019,20016,177,50,434195514.0999995
Ford Credit Auto Lease Trust 2017-A,05-31-2017,47272,282,36,1348134996.949996
Ford Credit Auto Lease Trust 2017-A,05-31-2018,37877,293,54,933254905.7200029
Ford Credit Auto Lease Trust 2017-A,05-31-2019,17913,177,38,384929766.03999954
Ford Credit Auto Lease Trust 2017-A,06-30-2017,47008,257,48,1322019949.0899997
Ford Credit Auto Lease Trust 2017-A,06-30-2018,36652,324,42,893070183.1899978
Ford Credit Auto Lease Trust 2017-A,06-30-2019,15495,160,40,330869919.01000035
Ford Credit Auto Lease Trust 2017-A,07-31-2017,46496,346,47,1293625690.7299972
Ford Credit Auto Lease Trust 2017-A,07-31-2018,35389,343,58,851518704.4500024
Ford Credit Auto Lease Trust 2017-A,07-31-2019,13356,165,35,282846767.820001
Ford Credit Auto Lease Trust 2017-A,08-31-2017,46028,317,56,1263601852.3000002
Ford Credit Auto Lease Trust 2017-A,08-31-2018,34149,293,48,809483556.6399992
Ford Credit Auto Lease Trust 2017-A,08-31-2019,11081,109,33,232377439.11000165
Ford Credit Auto Lease Trust 2017-A,09-30-2017,45262,340,59,1230298837.9500022
Ford Credit Auto Lease Trust 2017-A,09-30-2018,32643,295,54,766471859.410002
Ford Credit Auto Lease Trust 2017-A,10-31-2017,44446,350,64,1194204189.6999989
Ford Credit Auto Lease Trust 2017-A,10-31-2018,31207,321,55,723707213.1500002
Ford Credit Auto Lease Trust 2017-A,11-30-2017,43637,329,79,1158635625.4700136
Ford Credit Auto Lease Trust 2017-A,11-30-2018,29443,281,62,675202756.9899983
Ford Credit Auto Lease Trust 2017-A,12-31-2017,42711,382,73,1122762369.030003
Ford Credit Auto Lease Trust 2017-A,12-31-2018,27601,368,59,628329028.5300038
Ford Credit Auto Lease Trust 2017-B,01-31-2018,51754,342,57,1457608112.469998
Ford Credit Auto Lease Trust 2017-B,01-31-2019,40331,315,69,981146920.6699967
Ford Credit Auto Lease Trust 2017-B,01-31-2020,17970,221,35,379741730.8500002
Ford Credit Auto Lease Trust 2017-B,02-28-2018,51350,323,48,1426895096.590004
Ford Credit Auto Lease Trust 2017-B,02-28-2019,38989,296,59,937146818.8799952
Ford Credit Auto Lease Trust 2017-B,02-29-2020,15100,140,45,315594999.1400002
Ford Credit Auto Lease Trust 2017-B,03-31-2018,50893,285,40,1393681041.8400085
Ford Credit Auto Lease Trust 2017-B,03-31-2019,37498,269,50,889774385.8599951
Ford Credit Auto Lease Trust 2017-B,03-31-2020,12499,157,38,259782744.5300005
Ford Credit Auto Lease Trust 2017-B,04-30-2018,50067,303,43,1355404315.700009
Ford Credit Auto Lease Trust 2017-B,04-30-2019,35977,232,61,842201108.0299975
Ford Credit Auto Lease Trust 2017-B,04-30-2020,10873,129,59,223969718.60000026
Ford Credit Auto Lease Trust 2017-B,05-31-2018,49108,355,64,1315185296.8100035
Ford Credit Auto Lease Trust 2017-B,05-31-2019,34298,271,58,793734793.0299966
Ford Credit Auto Lease Trust 2017-B,06-30-2018,48045,316,66,1272485781.9299974
Ford Credit Auto Lease Trust 2017-B,06-30-2019,32462,266,50,743566871.4399991
Ford Credit Auto Lease Trust 2017-B,07-31-2018,46877,387,65,1228751961.489999
Ford Credit Auto Lease Trust 2017-B,07-31-2019,30728,282,54,694914291.9099998
Ford Credit Auto Lease Trust 2017-B,08-31-2018,45911,335,81,1187993695.549992
Ford Credit Auto Lease Trust 2017-B,08-31-2019,28896,242,40,644861871.4900012
Ford Credit Auto Lease Trust 2017-B,09-30-2017,52766,0,0,1560737874.999996
Ford Credit Auto Lease Trust 2017-B,09-30-2018,44785,359,75,1147554923.5599988
Ford Credit Auto Lease Trust 2017-B,09-30-2019,26792,279,48,592551242.340002
Ford Credit Auto Lease Trust 2017-B,10-31-2017,52456,307,3,1537692145.0899885
Ford Credit Auto Lease Trust 2017-B,10-31-2018,43756,407,74,1107333946.960003
Ford Credit Auto Lease Trust 2017-B,10-31-2019,24906,246,51,543335292.3499998
Ford Credit Auto Lease Trust 2017-B,11-30-2017,52269,335,34,1512679931.170005
Ford Credit Auto Lease Trust 2017-B,11-30-2018,42513,355,69,1062374938.7199932
Ford Credit Auto Lease Trust 2017-B,11-30-2019,22464,231,43,486013145.8700022
Ford Credit Auto Lease Trust 2017-B,12-31-2017,52012,363,45,1486610557.379999
Ford Credit Auto Lease Trust 2017-B,12-31-2018,41212,420,97,1020024721.2499975
Ford Credit Auto Lease Trust 2017-B,12-31-2019,20098,252,48,430420844.0499984
Ford Credit Auto Lease Trust 2018-A,01-31-2019,50057,369,67,1287809338.390002
Ford Credit Auto Lease Trust 2018-A,01-31-2020,31480,262,51,708255308.2399992
Ford Credit Auto Lease Trust 2018-A,02-28-2019,48827,332,54,1243033278.2599983
Ford Credit Auto Lease Trust 2018-A,02-29-2020,29319,230,48,651923467.9999985
Ford Credit Auto Lease Trust 2018-A,03-31-2018,54756,0,0,1595625161.450005
Ford Credit Auto Lease Trust 2018-A,03-31-2019,47566,320,42,1197506263.7700021
Ford Credit Auto Lease Trust 2018-A,03-31-2020,27226,242,46,599032323.6400003
Ford Credit Auto Lease Trust 2018-A,04-30-2018,54538,218,0,1573212290.8400025
Ford Credit Auto Lease Trust 2018-A,04-30-2019,46109,307,69,1148601480.2899935
Ford Credit Auto Lease Trust 2018-A,04-30-2020,25730,217,62,560320121.389999
Ford Credit Auto Lease Trust 2018-A,05-31-2018,54341,280,17,1547471342.239999
Ford Credit Auto Lease Trust 2018-A,05-31-2019,44784,291,57,1102903884.4600015
Ford Credit Auto Lease Trust 2018-A,05-31-2020,25187,188,81,540283285.6700014
Ford Credit Auto Lease Trust 2018-A,06-30-2018,54107,287,27,1520993440.8899949
Ford Credit Auto Lease Trust 2018-A,06-30-2019,43177,310,60,1054825257.7800041
Ford Credit Auto Lease Trust 2018-A,06-30-2020,23745,184,88,502740365.2999966
Ford Credit Auto Lease Trust 2018-A,07-31-2018,53788,344,41,1492335114.2299986
Ford Credit Auto Lease Trust 2018-A,07-31-2019,41739,321,58,1007208481.8100003
Ford Credit Auto Lease Trust 2018-A,07-31-2020,20686,173,73,434336601.71999896
Ford Credit Auto Lease Trust 2018-A,08-31-2018,53452,340,38,1462467680.6500113
Ford Credit Auto Lease Trust 2018-A,08-31-2019,40190,315,53,958957893.4000013
Ford Credit Auto Lease Trust 2018-A,08-31-2020,17095,163,55,357376731.12999827
Ford Credit Auto Lease Trust 2018-A,09-30-2018,52938,360,45,1432503910.8600042
Ford Credit Auto Lease Trust 2018-A,09-30-2019,38436,334,57,908153641.3900013
Ford Credit Auto Lease Trust 2018-A,09-30-2020,14403,134,46,298223204.0399999
Ford Credit Auto Lease Trust 2018-A,10-31-2018,52390,405,48,1398660641.0100157
Ford Credit Auto Lease Trust 2018-A,10-31-2019,36879,333,62,860426614.0599972
Ford Credit Auto Lease Trust 2018-A,10-31-2020,11901,149,35,244438454.5899999
Ford Credit Auto Lease Trust 2018-A,11-30-2018,51675,369,52,1362134841.8299947
Ford Credit Auto Lease Trust 2018-A,11-30-2019,34911,302,61,806529012.4299954
Ford Credit Auto Lease Trust 2018-A,12-31-2018,50645,513,72,1324074336.1900015
Ford Credit Auto Lease Trust 2018-A,12-31-2019,33104,309,62,755887938.7699999
Ford Credit Auto Lease Trust 2018-B,01-31-2019,50920,313,43,1482405070.6700034
Ford Credit Auto Lease Trust 2018-B,01-31-2020,40349,353,83,1017075112.4000013
Ford Credit Auto Lease Trust 2018-B,01-31-2021,18464,145,36,412594909.7500004
Ford Credit Auto Lease Trust 2018-B,02-28-2019,50542,300,48,1451843890.890008
Ford Credit Auto Lease Trust 2018-B,02-28-2021,16051,133,37,357879257.55999905
