series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
Ford Credit Auto Lease Trust 2017-A,2017-03-31,1,97,1871683.4,0.0,0.0
Ford Credit Auto Lease Trust 2017-A,2017-03-31,2,48,758294.85,802898.02,11164.439999999999
Ford Credit Auto Lease Trust 2017-A,2017-03-31,3,5,86561.0,89252.6,0.0
Ford Credit Auto Lease Trust 2017-A,2017-03-31,4,1,11852.0,0.0,0.0
Ford Credit Auto Lease Trust 2017-A,2017-04-30,1,108,2136126.15,0.0,0.0
Ford Credit Auto Lease Trust 2017-A,2017-04-30,2,94,1625750.35,1689562.49,22538.0
Ford Credit Auto Lease Trust 2017-A,2017-04-30,3,7,113375.0,104342.95999999999,0.0
Ford Credit Auto Lease Trust 2017-A,2017-05-31,1,124,2234905.75,40232.0,0.0
Ford Credit Auto Lease Trust 2017-A,2017-05-31,2,190,3227192.6,3310905.76,43256.69
Ford Credit Auto Lease Trust 2017-A,2017-05-31,3,27,405003.0,304031.37999999995,0.0
Ford Credit Auto Lease Trust 2017-A,2017-05-31,4,4,61725.0,0.0,0.0
Ford Credit Auto Lease Trust 2017-A,2017-06-30,1,174,3284638.25,13912.5,0.0
Ford Credit Auto Lease Trust 2017-A,2017-06-30,2,286,4843737.46,4909814.66,69954.26
Ford Credit Auto Lease Trust 2017-A,2017-06-30,3,26,394052.69999999995,335142.84,0.0
Ford Credit Auto Lease Trust 2017-A,2017-07-31,1,162,3059654.8,17902.5,0.0
Ford Credit Auto Lease Trust 2017-A,2017-07-31,2,378,6486174.75,6709528.29,64316.729999999996
Ford Credit Auto Lease Trust 2017-A,2017-07-31,3,27,454229.45,366346.72,0.0
Ford Credit Auto Lease Trust 2017-A,2017-08-31,1,234,4332636.140000001,18057.5,0.0
Ford Credit Auto Lease Trust 2017-A,2017-08-31,2,599,10244533.45,10578309.49,113814.84000000001
Ford Credit Auto Lease Trust 2017-A,2017-08-31,3,24,391402.0,318124.27,0.0
Ford Credit Auto Lease Trust 2017-A,2017-09-30,1,223,4138471.25,53085.0,0.0
Ford Credit Auto Lease Trust 2017-A,2017-09-30,2,595,10462975.9,10902971.67,96762.09
Ford Credit Auto Lease Trust 2017-A,2017-09-30,3,26,379217.0,323981.72000000003,0.0
Ford Credit Auto Lease Trust 2017-A,2017-10-31,1,235,4654155.75,26871.3,0.0
Ford Credit Auto Lease Trust 2017-A,2017-10-31,2,603,10391039.3,10581647.670000002,89347.9
Ford Credit Auto Lease Trust 2017-A,2017-10-31,3,26,482631.65,449440.36,0.0
Ford Credit Auto Lease Trust 2017-A,2017-10-31,98,1,20775.0,438.11,0.0
Ford Credit Auto Lease Trust 2017-A,2017-11-30,1,227,4395510.550000001,0.0,0.0
Ford Credit Auto Lease Trust 2017-A,2017-11-30,2,489,8544782.649999999,8600696.940000001,99509.18999999999
Ford Credit Auto Lease Trust 2017-A,2017-11-30,3,28,485306.5,401605.19999999995,0.0
Ford Credit Auto Lease Trust 2017-A,2017-11-30,98,2,25198.0,649.77,0.0
Ford Credit Auto Lease Trust 2017-A,2017-12-31,1,220,4080105.1,0.0,0.0
Ford Credit Auto Lease Trust 2017-A,2017-12-31,2,181,3288132.3,3328759.5,34315.97
Ford Credit Auto Lease Trust 2017-A,2017-12-31,3,12,200359.0,98402.78,0.0
Ford Credit Auto Lease Trust 2017-A,2017-12-31,98,2,23913.0,0.0,0.0
Ford Credit Auto Lease Trust 2017-A,2018-01-31,1,254,4785811.799999999,68351.5,0.0
Ford Credit Auto Lease Trust 2017-A,2018-01-31,2,1331,24438176.259999998,24170430.3,252886.36
Ford Credit Auto Lease Trust 2017-A,2018-01-31,3,85,1333011.0,1261725.72,0.0
Ford Credit Auto Lease Trust 2017-A,2018-01-31,98,3,49218.0,260.6,0.0
Ford Credit Auto Lease Trust 2017-A,2018-02-28,1,228,4104755.2,0.0,0.0
Ford Credit Auto Lease Trust 2017-A,2018-02-28,2,639,11487820.3,11463498.96,126984.48999999999
Ford Credit Auto Lease Trust 2017-A,2018-02-28,3,26,366063.0,244636.58000000002,0.0
Ford Credit Auto Lease Trust 2017-A,2018-02-28,98,5,84828.0,0.0,0.0
Ford Credit Auto Lease Trust 2017-A,2018-03-31,1,255,4583495.15,47870.0,0.0
Ford Credit Auto Lease Trust 2017-A,2018-03-31,2,875,16028256.08,16308211.870000001,135159.16
Ford Credit Auto Lease Trust 2017-A,2018-03-31,3,35,556410.6000000001,502390.37,0.0
