series,term_period,term_code,n,scheduled_residual,realized_proceeds,excess_fees
World Omni Automobile Lease Securitization Trust 2018-A,2020-10-31,2,967,15947691.259999998,3424258.4299999997,21482.61
World Omni Automobile Lease Securitization Trust 2018-A,2020-10-31,3,17,355841.6,97400.0,0.0
World Omni Automobile Lease Securitization Trust 2018-A,2020-10-31,98,8,158301.8,31337.47,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2019-01-31,1,835,16928509.41,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2019-01-31,2,110,2090076.37,2390662.3600000003,25054.53
World Omni Automobile Lease Securitization Trust 2018-B,2019-01-31,3,219,3712905.8900000006,4427925.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2019-01-31,98,122,1912886.8800000001,3671819.5,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2020-01-31,1,2489,50978208.36,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2020-01-31,2,880,14744848.48,16142963.85,200924.01
World Omni Automobile Lease Securitization Trust 2018-B,2020-01-31,3,647,11001186.760000002,11402281.33,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2020-01-31,98,254,3870118.21,4609096.98,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-01-31,1,6598,135460711.23999998,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-01-31,2,9263,149345971.56,173138825.12,1416752.65
World Omni Automobile Lease Securitization Trust 2018-B,2021-01-31,3,482,8475550.98,8972475.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-01-31,98,214,3727886.2800000003,2342880.42,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-02-28,1,653,13206695.420000002,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-02-28,2,1559,26076898.779999997,32347078.04,193893.37
World Omni Automobile Lease Securitization Trust 2018-B,2021-02-28,3,36,656147.85,711000.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-02-28,98,13,204708.82999999996,136798.49,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-03-31,1,1063,22332304.310000002,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-03-31,2,1734,28902181.669999998,38255609.68000001,187402.68
World Omni Automobile Lease Securitization Trust 2018-B,2021-03-31,3,25,438675.95,479050.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-03-31,98,3,64162.04,54920.78,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-04-30,1,1466,28703416.34,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-04-30,2,892,14657097.079999998,19875691.36,90386.61
World Omni Automobile Lease Securitization Trust 2018-B,2021-04-30,3,12,215392.36,268650.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-04-30,98,7,113218.59000000001,78879.68000000001,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-05-31,1,1800,33370531.160000004,0.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-05-31,2,314,5270516.9399999995,2991691.85,12238.99
World Omni Automobile Lease Securitization Trust 2018-B,2021-05-31,3,11,191604.57,56600.0,0.0
World Omni Automobile Lease Securitization Trust 2018-B,2021-05-31,98,6,101711.28,45886.71,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2019-01-31,1,17,0.0,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2019-01-31,2,1,17750.4,21180.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2019-01-31,3,2,29844.9,35700.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2019-01-31,98,3,0.0,21135.39,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2020-01-31,1,1966,39892161.019999996,0.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2020-01-31,2,308,5350833.82,5999443.1,74342.86
World Omni Automobile Lease Securitization Trust 2019-A,2020-01-31,3,568,9530713.42,10778550.0,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2020-01-31,98,300,4572319.48,6097151.59,0.0
World Omni Automobile Lease Securitization Trust 2019-A,2021-01-31,1,5124,104403331.75,0.0,0.0
