series,reporting_period_end_date,lease_count_current,lease_count_30_59,lease_count_60_plus,balance
Mercedes-Benz Auto Lease Trust 2017-A,01-31-2018,47166,92,48,2173141705.124579
Mercedes-Benz Auto Lease Trust 2017-A,01-31-2019,27854,85,49,1121896092.4317205
Mercedes-Benz Auto Lease Trust 2017-A,02-28-2018,46053,86,37,2095259638.945561
Mercedes-Benz Auto Lease Trust 2017-A,02-28-2019,26353,64,37,1047485869.2311615
Mercedes-Benz Auto Lease Trust 2017-A,03-31-2017,37544,24,0,1967798940.3856277
Mercedes-Benz Auto Lease Trust 2017-A,03-31-2018,44680,77,37,2009531554.8238194
Mercedes-Benz Auto Lease Trust 2017-A,03-31-2019,23581,56,34,933503450.470697
Mercedes-Benz Auto Lease Trust 2017-A,04-30-2017,55848,36,5,2888509466.0224323
Mercedes-Benz Auto Lease Trust 2017-A,04-30-2018,43208,65,41,1920220837.8437614
Mercedes-Benz Auto Lease Trust 2017-A,04-30-2019,20700,50,31,814993156.9505271
Mercedes-Benz Auto Lease Trust 2017-A,05-31-2017,55328,53,19,2821302906.1172147
Mercedes-Benz Auto Lease Trust 2017-A,05-31-2018,41618,96,41,1830003266.0760348
Mercedes-Benz Auto Lease Trust 2017-A,05-31-2019,18512,63,30,722143327.1810423
Mercedes-Benz Auto Lease Trust 2017-A,06-30-2017,54747,39,14,2751069793.3734503
Mercedes-Benz Auto Lease Trust 2017-A,06-30-2018,40168,79,31,1745192208.265636
Mercedes-Benz Auto Lease Trust 2017-A,06-30-2019,17000,62,28,654138033.858939
Mercedes-Benz Auto Lease Trust 2017-A,07-31-2017,53977,76,20,2678800401.0932417
Mercedes-Benz Auto Lease Trust 2017-A,07-31-2018,38788,97,35,1665845931.2914362
Mercedes-Benz Auto Lease Trust 2017-A,07-31-2019,15079,52,37,573116601.5806177
Mercedes-Benz Auto Lease Trust 2017-A,08-31-2017,53024,78,26,2599450399.438139
Mercedes-Benz Auto Lease Trust 2017-A,08-31-2018,37145,100,34,1578248085.259677
Mercedes-Benz Auto Lease Trust 2017-A,09-30-2017,52021,78,28,2520601273.861695
Mercedes-Benz Auto Lease Trust 2017-A,09-30-2018,35661,94,30,1499604806.3538933
Mercedes-Benz Auto Lease Trust 2017-A,10-31-2017,50804,70,30,2431151046.058219
Mercedes-Benz Auto Lease Trust 2017-A,10-31-2018,33803,87,31,1405264923.4905915
Mercedes-Benz Auto Lease Trust 2017-A,11-30-2017,49686,68,26,2347243143.081156
Mercedes-Benz Auto Lease Trust 2017-A,11-30-2018,31757,83,30,1306543093.612978
Mercedes-Benz Auto Lease Trust 2017-A,12-31-2017,48565,86,36,2265934201.624119
Mercedes-Benz Auto Lease Trust 2017-A,12-31-2018,29669,97,43,1208166383.9593217
Mercedes-Benz Auto Lease Trust 2018-A,01-31-2018,35272,43,3,1877759930.8999784
Mercedes-Benz Auto Lease Trust 2018-A,01-31-2019,28519,74,25,1304624560.3825738
Mercedes-Benz Auto Lease Trust 2018-A,01-31-2020,13824,63,33,552965995.3389773
Mercedes-Benz Auto Lease Trust 2018-A,02-28-2018,35022,33,6,1838162713.7930963
Mercedes-Benz Auto Lease Trust 2018-A,02-28-2019,27931,51,21,1257324647.8126564
Mercedes-Benz Auto Lease Trust 2018-A,02-29-2020,12373,53,32,490031046.69732034
Mercedes-Benz Auto Lease Trust 2018-A,03-31-2018,34644,42,7,1794865213.6884325
Mercedes-Benz Auto Lease Trust 2018-A,03-31-2019,26873,63,21,1197791486.573407
Mercedes-Benz Auto Lease Trust 2018-A,03-31-2020,11214,57,27,438691179.2650578
Mercedes-Benz Auto Lease Trust 2018-A,04-30-2018,34161,39,15,1749388423.8540847
Mercedes-Benz Auto Lease Trust 2018-A,04-30-2019,25699,46,22,1132391754.4076672
Mercedes-Benz Auto Lease Trust 2018-A,04-30-2020,10634,43,33,409114985.26459605
Mercedes-Benz Auto Lease Trust 2018-A,05-31-2018,33565,57,14,1699276767.5906415
Mercedes-Benz Auto Lease Trust 2018-A,05-31-2019,24587,60,28,1071500004.7874287
Mercedes-Benz Auto Lease Trust 2018-A,05-31-2020,9394,39,19,359252159.0231792
Mercedes-Benz Auto Lease Trust 2018-A,06-30-2018,33041,42,14,1651677307.265981
