series,reporting_date,active_count,count_current,count_30_59,count_60_plus,balance_total,sec_value_total,base_residual_total,vehicle_value_total,alg_count,blackbook_count,other_source_count,vintage_month
World Omni Automobile Lease Securitization Trust 2017-A,2017-01-31,32522,32504,18,0,1007953760.0200013,815147378.1300086,550037186.1899971,976158155.47,32522,0,0,0
World Omni Automobile Lease Securitization Trust 2017-A,2018-01-31,30301,29961,267,73,811220361.279993,665185753.5699967,508651975.95999604,906229335.4899999,30301,0,0,12
World Omni Automobile Lease Securitization Trust 2017-A,2019-01-31,26042,25662,278,102,589194195.3700027,495671369.7399977,434283819.06999326,777357723.8199999,26042,0,0,24
World Omni Automobile Lease Securitization Trust 2017-A,2020-01-31,4537,4410,89,38,107177842.93999968,98026004.09000033,92196644.44999985,155106293.0,4537,0,0,36
World Omni Automobile Lease Securitization Trust 2017-A,2017-02-28,32449,32348,99,2,994626156.7499969,796236161.029997,548543070.1299969,973636748.47,32449,0,0,1
World Omni Automobile Lease Securitization Trust 2017-A,2018-02-28,30052,29802,199,51,793880047.5900003,652478041.8400047,504158971.3099974,898490419.49,30052,0,0,13
World Omni Automobile Lease Securitization Trust 2017-A,2019-02-28,25455,25172,222,61,568151564.339999,479074749.6600026,424719064.189998,760352150.8199999,25455,0,0,25
World Omni Automobile Lease Securitization Trust 2017-A,2017-03-31,32361,32217,130,14,980233392.1299989,786390589.5499997,546860526.8699981,970791821.47,32361,0,0,2
World Omni Automobile Lease Securitization Trust 2017-A,2018-03-31,29757,29461,247,49,775422486.0899969,638673495.0799985,499113148.22000074,889839672.49,29757,0,0,14
World Omni Automobile Lease Securitization Trust 2017-A,2019-03-31,24745,24401,296,48,544647585.979999,460254592.6899981,413125620.67000026,739640651.8199999,24745,0,0,26
World Omni Automobile Lease Securitization Trust 2017-A,2017-04-30,32229,32085,113,31,965548413.9000043,776551169.9300008,544351507.3300011,966540775.4700001,32229,0,0,3
World Omni Automobile Lease Securitization Trust 2017-A,2018-04-30,29536,29327,144,65,758889785.4100025,626352031.7300017,494811598.7599966,882633711.49,29536,0,0,15
World Omni Automobile Lease Securitization Trust 2017-A,2019-04-30,23849,23592,178,79,518147920.47000015,438818558.2899997,398623952.1699976,713798313.82,23849,0,0,27
World Omni Automobile Lease Securitization Trust 2017-A,2017-05-31,32054,31819,198,37,948525457.1400026,764482104.3000057,540884162.3400004,960794460.4900001,32054,0,0,4
World Omni Automobile Lease Securitization Trust 2017-A,2018-05-31,29178,28898,229,51,739588052.6,611769498.0300024,488710161.2299966,872024621.4899999,29178,0,0,16
World Omni Automobile Lease Securitization Trust 2017-A,2019-05-31,22673,22347,247,79,487047225.9699986,413506959.42999756,379932385.6999967,680135824.54,22673,0,0,28
World Omni Automobile Lease Securitization Trust 2017-A,2017-06-30,31852,31670,137,45,930991022.820004,751971144.2700043,537085346.8199997,954349872.4900001,31852,0,0,5
World Omni Automobile Lease Securitization Trust 2017-A,2018-06-30,28844,28586,185,73,721390453.6900024,598001127.9100028,483046439.3699961,862136726.49,28844,0,0,17
World Omni Automobile Lease Securitization Trust 2017-A,2019-06-30,21047,20759,194,94,448313925.93000185,381705878.350001,353841060.03000003,633134121.54,21047,0,0,29
World Omni Automobile Lease Securitization Trust 2017-A,2017-07-31,31659,31379,222,58,914023983.6999986,739924734.9000003,533405283.61000156,948166313.49,31659,0,0,6
World Omni Automobile Lease Securitization Trust 2017-A,2018-07-31,28493,28143,265,85,702823564.000003,583824321.2599999,476881548.56999516,851564980.49,28493,0,0,18
World Omni Automobile Lease Securitization Trust 2017-A,2019-07-31,18588,18261,238,89,394719118.1500006,337150948.11000067,314844534.9699967,562695435.54,18588,0,0,30
World Omni Automobile Lease Securitization Trust 2017-A,2017-08-31,31430,31104,265,61,896323174.8899962,727245402.5899975,529241881.83999825,941134997.49,31430,0,0,7
World Omni Automobile Lease Securitization Trust 2017-A,2018-08-31,28081,27744,251,86,682912648.5700059,568441013.5800027,469689038.35000014,839191442.82,28081,0,0,19
World Omni Automobile Lease Securitization Trust 2017-A,2019-08-31,15923,15656,185,82,338124376.71999997,289975866.4500003,272303086.7599955,485878211.95,15923,0,0,31
World Omni Automobile Lease Securitization Trust 2017-A,2017-09-30,31233,30982,176,75,879982553.56001,715329382.0700011,525505288.3799974,934895700.49,31233,0,0,8
