issuer_code,deal_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
WOART,2018,0,1186415.85000000,3479959729.02000952,1186415.85000000,0.00034093
WOART,2018,1,401917.18000000,3479959729.02000952,1588333.03000000,0.00045642
WOART,2018,2,830541.12000000,3479959729.02000952,2418874.15000000,0.00069509
WOART,2018,3,975921.45000000,3479959729.02000952,3394795.60000000,0.00097553
WOART,2018,4,964032.48000000,3479959729.02000952,4358828.08000000,0.00125255
WOART,2018,5,689192.76000000,3479959729.02000952,5048020.84000000,0.00145060
WOART,2018,6,1030610.89000000,3479959729.02000952,6078631.73000000,0.00174675
WOART,2018,7,667264.66000000,3479959729.02000952,6745896.39000000,0.00193850
WOART,2018,8,658742.01000000,3479959729.02000952,7404638.40000000,0.00212779
WOART,2018,9,324364.69000000,3479959729.02000952,7729003.09000000,0.00222100
WOART,2018,10,326359.61000000,3479959729.02000952,8055362.70000000,0.00231479
WOART,2018,11,178665.25000000,3479959729.02000952,8234027.95000000,0.00236613
WOART,2018,12,127053.40000000,3479959729.02000952,8361081.35000000,0.00240264
WOART,2018,13,156218.36000000,3479959729.02000952,8517299.71000000,0.00244753
WOART,2018,14,181128.32000000,3479959729.02000952,8698428.03000000,0.00249958
WOART,2018,15,67470.74000000,3479959729.02000952,8765898.77000000,0.00251897
WOART,2018,16,76628.25000000,3479959729.02000952,8842527.02000000,0.00254099
WOART,2018,17,77699.49000000,3479959729.02000952,8920226.51000000,0.00256331
WOART,2018,18,88796.69000000,3479959729.02000952,9009023.20000000,0.00258883
WOART,2018,19,119964.06000000,3479959729.02000952,9128987.26000000,0.00262330
WOART,2019,0,636230.49000000,4557938132.20001507,636230.49000000,0.00013959
WOART,2019,1,723727.73000000,4557938132.20001507,1359958.22000000,0.00029837
WOART,2019,2,692568.77000000,4557938132.20001507,2052526.99000000,0.00045032
WOART,2019,3,427237.97000000,4557938132.20001507,2479764.96000000,0.00054405
WOART,2019,4,576020.05000000,4557938132.20001507,3055785.01000000,0.00067043
WOART,2019,5,572028.05000000,4557938132.20001507,3627813.06000000,0.00079593
WOART,2019,6,795275.49000000,4557938132.20001507,4423088.55000000,0.00097041
WOART,2019,7,401345.96000000,4557938132.20001507,4824434.51000000,0.00105847
WOART,2019,8,604311.66000000,4557938132.20001507,5428746.17000000,0.00119105
WOART,2019,9,554534.57000000,4557938132.20001507,5983280.74000000,0.00131272
WOART,2019,10,254748.87000000,4557938132.20001507,6238029.61000000,0.00136861
WOART,2019,11,243209.72000000,4557938132.20001507,6481239.33000000,0.00142197
WOART,2019,12,264632.73000000,4557938132.20001507,6745872.06000000,0.00148003
WOART,2019,13,217194.97000000,4557938132.20001507,6963067.03000000,0.00152768
WOART,2019,14,194633.14000000,4557938132.20001507,7157700.17000000,0.00157038
WOART,2019,15,151271.25000000,4557938132.20001507,7308971.42000000,0.00160357
WOART,2019,16,181296.50000000,4557938132.20001507,7490267.92000000,0.00164335
WOART,2019,17,31153.73000000,4557938132.20001507,7521421.65000000,0.00165018
WOART,2019,18,87178.17000000,4557938132.20001507,7608599.82000000,0.00166931
WOART,2020,0,373644.90000000,3090727122.91999960,373644.90000000,0.00012089
WOART,2020,1,472046.97000000,3090727122.91999960,845691.87000000,0.00027362
WOART,2020,2,416407.16000000,3090727122.91999960,1262099.03000000,0.00040835
WOART,2020,3,591007.34000000,3090727122.91999960,1853106.37000000,0.00059957
WOART,2020,4,479964.87000000,3090727122.91999960,2333071.24000000,0.00075486
WOART,2020,5,503236.20000000,3090727122.91999960,2836307.44000000,0.00091768
WOART,2020,6,293014.54000000,3090727122.91999960,3129321.98000000,0.00101249
WOART,2020,7,319037.61000000,3090727122.91999960,3448359.59000000,0.00111571
WOART,2020,8,409800.19000000,3090727122.91999960,3858159.78000000,0.00124830
WOART,2020,9,283068.69000000,3090727122.91999960,4141228.47000000,0.00133989
WOART,2020,10,279142.95000000,3090727122.91999960,4420371.42000000,0.00143020
WOART,2020,11,158873.43000000,3090727122.91999960,4579244.85000000,0.00148161
WOART,2020,12,199003.03000000,3090727122.91999960,4778247.88000000,0.00154599
WOART,2020,13,216854.84000000,3090727122.91999960,4995102.72000000,0.00161616
WOART,2020,14,234653.92000000,3090727122.91999960,5229756.64000000,0.00169208
WOART,2020,15,95620.08000000,3090727122.91999960,5325376.72000000,0.00172302
WOART,2020,16,96584.01000000,3090727122.91999960,5421960.73000000,0.00175427
WOART,2020,17,60828.16000000,3090727122.91999960,5482788.89000000,0.00177395
WOART,2020,18,76423.15000000,3090727122.91999960,5559212.04000000,0.00179867
WOART,2020,19,59704.36000000,3090727122.91999960,5618916.40000000,0.00181799
WOART,2021,0,403391.66000000,3616683376.07000208,403391.66000000,0.00011154
WOART,2021,1,538801.88000000,3616683376.07000208,942193.54000000,0.00026051
WOART,2021,2,622246.08000000,3616683376.07000208,1564439.62000000,0.00043256
WOART,2021,3,382232.78000000,3616683376.07000208,1946672.40000000,0.00053825
WOART,2021,4,608175.04000000,3616683376.07000208,2554847.44000000,0.00070641
WOART,2021,5,391256.03000000,3616683376.07000208,2946103.47000000,0.00081459
WOART,2021,6,566362.99000000,3616683376.07000208,3512466.46000000,0.00097118
WOART,2021,7,455045.53000000,3616683376.07000208,3967511.99000000,0.00109700
WOART,2021,8,479317.21000000,3616683376.07000208,4446829.20000000,0.00122953
WOART,2021,9,415856.82000000,3616683376.07000208,4862686.02000000,0.00134452
WOART,2021,10,285573.62000000,3616683376.07000208,5148259.64000000,0.00142348
WOART,2021,11,257748.42000000,3616683376.07000208,5406008.06000000,0.00149474
WOART,2021,12,250008.40000000,3616683376.07000208,5656016.46000000,0.00156387
WOART,2021,13,242179.41000000,3616683376.07000208,5898195.87000000,0.00163083
WOART,2021,14,266958.07000000,3616683376.07000208,6165153.94000000,0.00170464
WOART,2021,15,223077.59000000,3616683376.07000208,6388231.53000000,0.00176632
WOART,2021,16,97424.34000000,3616683376.07000208,6485655.87000000,0.00179326
WOART,2021,17,134653.71000000,3616683376.07000208,6620309.58000000,0.00183049
WOART,2021,18,231309.86000000,3616683376.07000208,6851619.44000000,0.00189445
WOART,2022,0,1386869.09000000,4781223193.38000584,1386869.09000000,0.00029007
WOART,2022,1,1117703.74000000,4781223193.38000584,2504572.83000000,0.00052384
WOART,2022,2,1067317.72000000,4781223193.38000584,3571890.55000000,0.00074707
WOART,2022,3,1358648.07000000,4781223193.38000584,4930538.62000000,0.00103123
WOART,2022,4,1274090.01000000,4781223193.38000584,6204628.63000000,0.00129771
WOART,2022,5,1385488.16000000,4781223193.38000584,7590116.79000000,0.00158748
WOART,2022,6,1142891.45000000,4781223193.38000584,8733008.24000000,0.00182652
WOART,2022,7,1069661.92000000,4781223193.38000584,9802670.16000000,0.00205024
WOART,2022,8,692194.33000000,4781223193.38000584,10494864.49000000,0.00219502
WOART,2022,9,813677.74000000,4781223193.38000584,11308542.23000000,0.00236520
WOART,2022,10,738924.33000000,4781223193.38000584,12047466.56000000,0.00251975
WOART,2022,11,581135.41000000,4781223193.38000584,12628601.97000000,0.00264129
WOART,2022,12,523260.69000000,4781223193.38000584,13151862.66000000,0.00275073
WOART,2022,13,534062.00000000,4781223193.38000584,13685924.66000000,0.00286243
WOART,2022,14,376554.34000000,4781223193.38000584,14062479.00000000,0.00294119
WOART,2022,15,288312.37000000,4781223193.38000584,14350791.37000000,0.00300149
WOART,2022,16,221878.18000000,4781223193.38000584,14572669.55000000,0.00304790
WOART,2022,17,225530.39000000,4781223193.38000584,14798199.94000000,0.00309507
WOART,2022,18,46192.59000000,4781223193.38000584,14844392.53000000,0.00310473
WOART,2022,19,157816.67000000,4781223193.38000584,15002209.20000000,0.00313773
WOART,2023,0,1260699.56000000,5460541853.47999763,1260699.56000000,0.00023087
WOART,2023,1,1291135.94000000,5460541853.47999763,2551835.50000000,0.00046732
WOART,2023,2,1538055.19000000,5460541853.47999763,4089890.69000000,0.00074899
WOART,2023,3,1374164.84000000,5460541853.47999763,5464055.53000000,0.00100064
WOART,2023,4,1462550.38000000,5460541853.47999763,6926605.91000000,0.00126848
WOART,2023,5,1440925.91000000,5460541853.47999763,8367531.82000000,0.00153236
WOART,2023,6,1154350.43000000,5460541853.47999763,9521882.25000000,0.00174376
WOART,2023,7,1588371.53000000,5460541853.47999763,11110253.78000000,0.00203464
