issuer_code,orig_year,loan_age_months,period_co_amt,orig_pool_amt,cumulative_co_amt,cumulative_loss_rate
CMXS,2018,67,0.00000000,4994702.38000000,0.00000000,0.00000000
CMXS,2018,73,1262.27000000,4994702.38000000,1262.27000000,0.00025272
CMXS,2018,76,0.00000000,4994702.38000000,1262.27000000,0.00025272
CMXS,2018,77,0.00000000,4994702.38000000,1262.27000000,0.00025272
CMXS,2018,78,0.00000000,4994702.38000000,1262.27000000,0.00025272
CMXS,2018,79,0.00000000,4994702.38000000,1262.27000000,0.00025272
CMXS,2018,81,0.00000000,4994702.38000000,1262.27000000,0.00025272
CMXS,2018,82,0.00000000,4994702.38000000,1262.27000000,0.00025272
CMXS,2018,83,0.00000000,4994702.38000000,1262.27000000,0.00025272
CMXS,2019,34,0.00000000,122932465.78000003,0.00000000,0.00000000
CMXS,2019,57,0.00000000,122932465.78000003,0.00000000,0.00000000
CMXS,2019,58,0.00000000,122932465.78000003,0.00000000,0.00000000
CMXS,2019,59,0.00000000,122932465.78000003,0.00000000,0.00000000
CMXS,2019,60,0.00000000,122932465.78000003,0.00000000,0.00000000
CMXS,2019,61,0.00000000,122932465.78000003,0.00000000,0.00000000
CMXS,2019,62,0.00000000,122932465.78000003,0.00000000,0.00000000
CMXS,2019,63,8465.88000000,122932465.78000003,8465.88000000,0.00006887
CMXS,2019,64,0.00000000,122932465.78000003,8465.88000000,0.00006887
CMXS,2019,65,433.84000000,122932465.78000003,8899.72000000,0.00007240
CMXS,2019,66,4425.21000000,122932465.78000003,13324.93000000,0.00010839
CMXS,2019,67,5924.04000000,122932465.78000003,19248.97000000,0.00015658
CMXS,2019,68,0.00000000,122932465.78000003,19248.97000000,0.00015658
CMXS,2019,69,0.00000000,122932465.78000003,19248.97000000,0.00015658
CMXS,2019,70,0.00000000,122932465.78000003,19248.97000000,0.00015658
CMXS,2019,71,0.00000000,122932465.78000003,19248.97000000,0.00015658
CMXS,2019,72,0.00000000,122932465.78000003,19248.97000000,0.00015658
CMXS,2019,73,7303.64000000,122932465.78000003,26552.61000000,0.00021599
CMXS,2019,74,6079.42000000,122932465.78000003,32632.03000000,0.00026545
CMXS,2019,75,811.09000000,122932465.78000003,33443.12000000,0.00027204
CMXS,2019,76,12399.49000000,122932465.78000003,45842.61000000,0.00037291
CMXS,2019,77,3446.78000000,122932465.78000003,49289.39000000,0.00040095
CMXS,2019,78,5207.91000000,122932465.78000003,54497.30000000,0.00044331
CMXS,2019,79,2059.62000000,122932465.78000003,56556.92000000,0.00046006
CMXS,2019,80,7501.98000000,122932465.78000003,64058.90000000,0.00052109
CMXS,2019,81,3626.76000000,122932465.78000003,67685.66000000,0.00055059
CMXS,2019,82,13936.75000000,122932465.78000003,81622.41000000,0.00066396
CMXS,2019,83,3262.58000000,122932465.78000003,84884.99000000,0.00069050
CMXS,2019,84,7611.80000000,122932465.78000003,92496.79000000,0.00075242
CMXS,2020,50,4919.99000000,299224133.92999971,4919.99000000,0.00001644
CMXS,2020,54,0.00000000,299224133.92999971,4919.99000000,0.00001644
CMXS,2020,55,0.00000000,299224133.92999971,4919.99000000,0.00001644
CMXS,2020,56,0.00000000,299224133.92999971,4919.99000000,0.00001644
CMXS,2020,57,0.00000000,299224133.92999971,4919.99000000,0.00001644
CMXS,2020,58,0.00000000,299224133.92999971,4919.99000000,0.00001644
CMXS,2020,59,0.00000000,299224133.92999971,4919.99000000,0.00001644
CMXS,2020,60,1426.67000000,299224133.92999971,6346.66000000,0.00002121
CMXS,2020,61,12309.95000000,299224133.92999971,18656.61000000,0.00006235
CMXS,2020,62,34969.85000000,299224133.92999971,53626.46000000,0.00017922
CMXS,2020,63,4950.30000000,299224133.92999971,58576.76000000,0.00019576
CMXS,2020,64,6094.80000000,299224133.92999971,64671.56000000,0.00021613
CMXS,2020,65,18513.56000000,299224133.92999971,83185.12000000,0.00027800
CMXS,2020,66,24379.24000000,299224133.92999971,107564.36000000,0.00035948
CMXS,2020,67,1655.62000000,299224133.92999971,109219.98000000,0.00036501
CMXS,2020,68,5552.46000000,299224133.92999971,114772.44000000,0.00038357
CMXS,2020,69,3012.08000000,299224133.92999971,117784.52000000,0.00039363
CMXS,2020,70,21791.66000000,299224133.92999971,139576.18000000,0.00046646
CMXS,2020,71,27645.94000000,299224133.92999971,167222.12000000,0.00055885
CMXS,2020,72,1761.51000000,299224133.92999971,168983.63000000,0.00056474
CMXS,2021,30,0.00000000,308515637.38999969,0.00000000,0.00000000
CMXS,2021,33,0.00000000,308515637.38999969,0.00000000,0.00000000
CMXS,2021,34,0.00000000,308515637.38999969,0.00000000,0.00000000
CMXS,2021,36,0.00000000,308515637.38999969,0.00000000,0.00000000
CMXS,2021,37,0.00000000,308515637.38999969,0.00000000,0.00000000
CMXS,2021,38,0.00000000,308515637.38999969,0.00000000,0.00000000
CMXS,2021,39,0.00000000,308515637.38999969,0.00000000,0.00000000
CMXS,2021,40,0.00000000,308515637.38999969,0.00000000,0.00000000
CMXS,2021,41,0.00000000,308515637.38999969,0.00000000,0.00000000
CMXS,2021,42,0.00000000,308515637.38999969,0.00000000,0.00000000
CMXS,2021,43,0.00000000,308515637.38999969,0.00000000,0.00000000
CMXS,2021,44,0.00000000,308515637.38999969,0.00000000,0.00000000
CMXS,2021,45,0.00000000,308515637.38999969,0.00000000,0.00000000
CMXS,2021,46,29074.80000000,308515637.38999969,29074.80000000,0.00009424
CMXS,2021,47,0.00000000,308515637.38999969,29074.80000000,0.00009424
CMXS,2021,48,13917.49000000,308515637.38999969,42992.29000000,0.00013935
CMXS,2021,49,67660.61000000,308515637.38999969,110652.90000000,0.00035866
CMXS,2021,50,32157.88000000,308515637.38999969,142810.78000000,0.00046290
CMXS,2021,51,33187.65000000,308515637.38999969,175998.43000000,0.00057047
CMXS,2021,52,76880.03000000,308515637.38999969,252878.46000000,0.00081966
CMXS,2021,53,48822.13000000,308515637.38999969,301700.59000000,0.00097791
CMXS,2021,54,57061.65000000,308515637.38999969,358762.24000000,0.00116287
CMXS,2021,55,31261.04000000,308515637.38999969,390023.28000000,0.00126419
CMXS,2021,56,45869.79000000,308515637.38999969,435893.07000000,0.00141287
CMXS,2021,57,58444.04000000,308515637.38999969,494337.11000000,0.00160231
CMXS,2021,58,46166.70000000,308515637.38999969,540503.81000000,0.00175195
CMXS,2021,59,64297.45000000,308515637.38999969,604801.26000000,0.00196036
CMXS,2021,60,21741.36000000,308515637.38999969,626542.62000000,0.00203083
CMXS,2022,17,0.00000000,135107200.66000006,0.00000000,0.00000000
CMXS,2022,20,0.00000000,135107200.66000006,0.00000000,0.00000000
CMXS,2022,21,0.00000000,135107200.66000006,0.00000000,0.00000000
CMXS,2022,22,0.00000000,135107200.66000006,0.00000000,0.00000000
CMXS,2022,23,16713.99000000,135107200.66000006,16713.99000000,0.00012371
CMXS,2022,24,57972.14000000,135107200.66000006,74686.13000000,0.00055279
CMXS,2022,25,101130.39000000,135107200.66000006,175816.52000000,0.00130131
CMXS,2022,26,44403.54000000,135107200.66000006,220220.06000000,0.00162997
CMXS,2022,27,0.00000000,135107200.66000006,220220.06000000,0.00162997
CMXS,2022,28,54581.81000000,135107200.66000006,274801.87000000,0.00203395
CMXS,2022,29,44403.91000000,135107200.66000006,319205.78000000,0.00236261
CMXS,2022,30,19547.80000000,135107200.66000006,338753.58000000,0.00250729
CMXS,2022,31,35312.45000000,135107200.66000006,374066.03000000,0.00276866
CMXS,2022,32,38824.47000000,135107200.66000006,412890.50000000,0.00305602
CMXS,2022,33,62623.94000000,135107200.66000006,475514.44000000,0.00351953
CMXS,2022,34,63399.37000000,135107200.66000006,538913.81000000,0.00398879
CMXS,2022,35,0.00000000,135107200.66000006,538913.81000000,0.00398879
CMXS,2022,36,121802.13000000,135107200.66000006,660715.94000000,0.00489031
CMXS,2022,37,197275.12000000,135107200.66000006,857991.06000000,0.00635045
CMXS,2022,38,225408.25000000,135107200.66000006,1083399.31000000,0.00801881
CMXS,2022,39,313144.29000000,135107200.66000006,1396543.60000000,0.01033656
CMXS,2022,40,287740.36000000,135107200.66000006,1684283.96000000,0.01246628
CMXS,2022,41,291373.20000000,135107200.66000006,1975657.16000000,0.01462289
CMXS,2022,42,112767.04000000,135107200.66000006,2088424.20000000,0.01545753
CMXS,2022,43,46261.99000000,135107200.66000006,2134686.19000000,0.01579994
CMXS,2022,44,100787.96000000,135107200.66000006,2235474.15000000,0.01654593
CMXS,2022,45,230543.90000000,135107200.66000006,2466018.05000000,0.01825231
CMXS,2022,46,172929.59000000,135107200.66000006,2638947.64000000,0.01953225
CMXS,2022,47,98639.44000000,135107200.66000006,2737587.08000000,0.02026233
CMXS,2022,48,58513.11000000,135107200.66000006,2796100.19000000,0.02069542
CMXS,2023,5,0.00000000,329893471.92999971,0.00000000,0.00000000
CMXS,2023,6,0.00000000,329893471.92999971,0.00000000,0.00000000
CMXS,2023,7,0.00000000,329893471.92999971,0.00000000,0.00000000
CMXS,2023,8,0.00000000,329893471.92999971,0.00000000,0.00000000
CMXS,2023,9,0.00000000,329893471.92999971,0.00000000,0.00000000
CMXS,2023,10,0.00000000,329893471.92999971,0.00000000,0.00000000
CMXS,2023,11,0.00000000,329893471.92999971,0.00000000,0.00000000
CMXS,2023,12,46218.35000000,329893471.92999971,46218.35000000,0.00014010
CMXS,2023,13,190225.90000000,329893471.92999971,236444.25000000,0.00071673
CMXS,2023,14,347638.11000000,329893471.92999971,584082.36000000,0.00177052
CMXS,2023,15,344840.00000000,329893471.92999971,928922.36000000,0.00281583
